Uuid,Concept Numeric uuid,Label,Absolute low,Critical low,Normal low,Normal high,Critical high,Absolute high,Criteria
b5a1c9e2-4d3f-4a6b-8c7d-9e0f1a2b3c4d,3ce934fa-26fe-102b-80cb-0017a47871b2,Systolic Newborn,30,,,,,300,"$fn.getDaysBetween($patient.birthdate, $obs.obsDatetime) >= 0 && $fn.getDaysBetween($patient.birthdate, $obs.obsDatetime) < 30"
8cd6fe9d-058f-47a3-955f-a7db4885df84,3ce934fa-26fe-102b-80cb-0017a47871b2,Systolic Pregnant,30,79,80,159,160,300,"$fn.isInProgramState('a83896bf-9094-4a3c-b843-e75509a52b32',$patient,$obs.obsDatetime)"
7e8f9a0b-1c2d-3e4f-5a6b-7c8d9e0f1a2b,3ce93694-26fe-102b-80cb-0017a47871b2,Diastolic Newborn,20,,,,,200,"$fn.getDaysBetween($patient.birthdate, $obs.obsDatetime) >= 0 && $fn.getDaysBetween($patient.birthdate, $obs.obsDatetime) < 30"
f47ac10b-58cc-4372-a567-0e02b2c3d479,3ce93694-26fe-102b-80cb-0017a47871b2,Diastolic Pregnant,20,50,51,109,110,200,"$fn.isInProgramState('a83896bf-9094-4a3c-b843-e75509a52b32',$patient,$obs.obsDatetime)"
4942d4a1-8798-4061-8263-959c9966b459,3ce93824-26fe-102b-80cb-0017a47871b2,Pulse Newborn,0,79,80,174,175,300,"$fn.getDaysBetween($patient.birthdate, $obs.obsDatetime) >= 0 && $fn.getDaysBetween($patient.birthdate, $obs.obsDatetime) < 30"
7b4f5195-25e9-4e44-8da0-f5a013470707,3ce93824-26fe-102b-80cb-0017a47871b2,Pulse Pregnant,0,39,50,119,131,300,"$fn.isInProgramState('a83896bf-9094-4a3c-b843-e75509a52b32',$patient,$obs.obsDatetime)"
4a9b2c3d-e5f6-7a8b-9c0d-1e2f3a4b5c6d,3ceb11f8-26fe-102b-80cb-0017a47871b2,Respiration Rate Newborn,0,25,26,79,80,120,"$fn.getDaysBetween($patient.birthdate, $obs.obsDatetime) >= 0 && $fn.getDaysBetween($patient.birthdate, $obs.obsDatetime) < 30"
7d8c9b0a-1e2f-3a4b-5c6d-7e8f9a0b1c2d,3ceb11f8-26fe-102b-80cb-0017a47871b2,Respiration Rate Pregnant,0,,12,26,,120,"$fn.isInProgramState('a83896bf-9094-4a3c-b843-e75509a52b32',$patient,$obs.obsDatetime)"
f89e2c45-7a1b-4d92-938c-6e0b1f2a3d4e,3ce9401c-26fe-102b-80cb-0017a47871b2,Oxygen Saturation Newborn,30,89,90,100,,100,"$fn.getDaysBetween($patient.birthdate, $obs.obsDatetime) >= 0 && $fn.getDaysBetween($patient.birthdate, $obs.obsDatetime) < 30"
a1b2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,3ce9401c-26fe-102b-80cb-0017a47871b2,Oxygen Saturation Pregnant,30,93,96,100,,100,"$fn.isInProgramState('a83896bf-9094-4a3c-b843-e75509a52b32',$patient,$obs.obsDatetime)"
2a7e4b91-8d3f-4c62-a5b7-9e0f1d2c3a4b,3ce939d2-26fe-102b-80cb-0017a47871b2,Temperature Newborn,25,36,36.1,37.9,38,43,"$fn.getDaysBetween($patient.birthdate, $obs.obsDatetime) >= 0 && $fn.getDaysBetween($patient.birthdate, $obs.obsDatetime) < 30"
f9d8c7b6-a5a4-4321-8765-4e3d2c1b0a9f,3ce939d2-26fe-102b-80cb-0017a47871b2,Temperature Pregnant,25,34.9,35,38.2,40,43,"$fn.isInProgramState('a83896bf-9094-4a3c-b843-e75509a52b32',$patient,$obs.obsDatetime)"
1e2f3a4b-5c6d-7e8f-9a0b-1c2d3e4f5a6b,1440AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Fetal Heart Rate Pregnant,0,109,110,160,161,250,"$fn.isInProgramState('a83896bf-9094-4a3c-b843-e75509a52b32',$patient,$obs.obsDatetime)"
