Uuid,Void/Retire,Mappings|SAME-AS|OpenBoxes,Name,Concept Drug,Concept Dosage Form,Ingredient 1,Ingredient 1 Strength,Ingredient 1 Units,Ingredient 2,Ingredient 2 Strength,Ingredient 2 Units,Ingredient 3,Ingredient 3 Strength,Ingredient 3 Units,Ingredient 4,Ingredient 4 Strength,Ingredient 4 Units
78faa9b8-dfbe-11e9-8a34-2a2ae2dbcce4,,14074,"Abacavir (ABC) sulfate 60mg + Lamivudine (3TC) 30mg, tablet for oral suspension",CIEL:103166,Tablet,CIEL:70056,60,Milligram,CIEL:78643,30,Milligram,,,,,,
78f9712e-dfbe-11e9-8a34-2a2ae2dbcce4,,10924,"Abacavir sulfate (ABC) 600mg + Lamivudine (3TC) 300mg tablet",CIEL:103166,Tablet,CIEL:70056,600,Milligram,CIEL:78643,300,Milligram,,,,,,
8d5941e8-5f86-4289-a6ba-122320814bd5,TRUE,10194,"Acetylsalicylic acid, 100mg tablet",CIEL:71617,Tablet,CIEL:71617,100,Milligram,,,,,,,,,
f59e2729-faeb-46b2-981a-881a8f24d2a1,TRUE,12885,"Acetylsalicylic acid, 75mg dispersible tablet",CIEL:71617,Tablet,CIEL:71617,75,Milligram,,,,,,,,,
0962492b-295e-4f61-8d7b-717a61f43997,,11059,"Aciclovir, 200mg tablet",CIEL:70245,Tablet,CIEL:70245,200,Milligram,,,,,,,,,
f1403640-6911-4758-bbdb-183329c65708,TRUE,10333,"Aciclovir, Eye ointment, 3%, 4.5 gram tube",CIEL:70245,Tube,CIEL:70245,,,,,,,,,,,
22744753-9e10-4f93-a324-378f737a7c39,,11919,"Aciclovir, Powder for solution for infusion, 250mg vial",CIEL:70245,Vial,CIEL:70245,,,,,,,,,,,
13c36efa-f117-4554-8461-53d0c078fe96,,11323,"Adrenaline (Epinephrine), Solution for injection, 1mg/mL (1:1,000), 1mL ampoule",CIEL:154365,Ampule(s),CIEL:154365,,,,,,,,,,,
fc6b54fb-285b-489c-9298-b24dbcc54b41,TRUE,11804,"Adrenaline (Epinephrine), Solution for injection, 100 microgram/mL (1:10,000), 10mL prefilled syring",CIEL:154365,Syringe,CIEL:154365,,,,,,,,,,,
af52a21e-0081-459e-8aeb-611330790985,,10369,"Albendazole, 200mg chewable tablet",CIEL:70439,Tablet,CIEL:70439,200,Milligram,,,,,,,,,
8112cd30-ae2a-11e4-ab27-0800200c9a66,,10625,"Albendazole, 400mg chewable tablet",CIEL:70439,Tablet,CIEL:70439,400,Milligram,,,,,,,,,
c6a8d8ae-fce4-11e9-8f0b-362b9e155667,,10057,"Allopurinol, 100mg tablet",CIEL:70878,Tablet,CIEL:70878,100,Milligram,,,,,,,,,
219685e2-dcb1-48f8-b4ff-1d19325ce097,,10004,"Aluminium hydroxide 120mg + magnesium hydroxide 250mg, tablet",CIEL:103526,Tablet,CIEL:70991,120,Milligram,CIEL:79236,250,Milligram,,,,,,
5815a762-e68a-42dc-aea9-57957260d44b,,11338,"Aminophylline, Solution for injection, 25mg/mL, 10mL ampoule",CIEL:71101,Ampule(s),CIEL:71101,,,,,,,,,,,
78fc4778-dfbe-11e9-8a34-2a2ae2dbcce4,,14154,"Amikacin, Solution for injection, 250mg/mL, 2mL vial",CIEL:71060,Vial,CIEL:71060,,,,,,,,,,,
5edb194a-70bf-4fbf-b2ca-4dce586af7f3,,11109,"Amitriptyline hydrochloride, 25mg coated tablet",CIEL:931,Tablet,CIEL:931,25,Milligram,,,,,,,,,
4728aa84-9962-4350-ba9e-50e195b129c2,,12660,"Amlodipine besylate, 10mg tablet",CIEL:71138,Tablet,CIEL:71138,10,Milligram,,,,,,,,,
6620289c-cc66-4892-9b2d-ecc40c746945,,10667,"Amlodipine besylate, 5mg tablet",CIEL:71138,Tablet,CIEL:71138,5,Milligram,,,,,,,,,
c6a8db56-fce4-11e9-8f0b-362b9e155667,TRUE,12292,"Amoxicillin 125mg + clavulanic acid 31.25mg/mL, Powder for oral suspension, 100mL bottle",CIEL:450,Bottle,,,,,,,,,,,,
f588e356-42a6-4180-9d8e-405acce150d6,TRUE,12498,"Amoxicillin 500mg + clavulanic acid 100mg, Powder for solution for injection, vial",CIEL:450,Vial,,,,,,,,,,,,
5c2ffaf4-0a6e-462b-9d0c-a2c3fa25b556,,10284,"Amoxicillin 500mg + clavulanic acid 125mg tablet",CIEL:450,Tablet,CIEL:71160,500,Milligram,CIEL:73504,125,Milligram,,,,,,
e44e261f-aeed-4125-9acb-8f6653c36fc0,TRUE,,"Amoxicillin 500mg + clavulanic acid solution for injection 1 gram vial",CIEL:450,Vial,,,,,,,,,,,,
8dabf09a-9279-4a59-bdd3-ab80dbe224f8,,24308,"Amoxicillin 1g + clavulanic acid 200mg, Powder for solution for injection, vial",CIEL:450,Vial,,,,,,,,,,,,
a4a68173-2931-4249-a5e6-747a50626de7,,31599,"Amoxicillin, 250mg dispersible tablet",CIEL:71160,Tablet,CIEL:71160,250,Milligram,,,,,,,,,
c6a8dcb4-fce4-11e9-8f0b-362b9e155667,TRUE,12235,"Amoxicillin, 250mg tablet",CIEL:71160,Tablet,CIEL:71160,250,Milligram,,,,,,,,,
1491ae88-f38c-4a8c-94d5-f8385eb3b9d9,,11794,"Amoxicillin, 500mg capsule/tablet",CIEL:71160,Capsule,CIEL:71160,500,Milligram,,,,,,,,,
16837210-79c4-4909-9747-d9af46b93f0b,,11342,"Amoxicillin, Powder for oral suspension, 125mg/5mL, 100mL bottle",CIEL:71160,Bottle,CIEL:71160,,,,,,,,,,,
1f7c1ff6-9dff-4ce3-9f56-d7da12513869,TRUE,11659,"Amoxicillin, Powder for oral suspension, 250mg/5mL, 100mL bottle",CIEL:71160,Bottle,CIEL:71160,,,,,,,,,,,
