Uuid,Void/Retire,Name,Description
251c03fa-a9dc-4157-855f-b016f4fae9ab,,Sierra Leone Maternal Check-in,The check-in form for maternal health (MCOE) in Sierra Leone
41911448-71a1-43d7-bba8-dc86339850da,,Sierra Leone MCH Triage,The triage form for maternal health (MCOE) in Sierra Leone
7d5853d4-67b7-4742-8492-fcf860690ed5,,Sierra Leone Outpatient Initial,The outpatient intake form for Sierra Leone
d8a038b5-90d2-43dc-b94b-8338b76674f3,,Sierra Leone Outpatient Followup,The outpatient visit form for Sierra Leone
9cc89b83-e32f-410a-947d-aeb3bda37571,,Maternity and Delivery Register,The maternal delivery register for Sierra Leone
3790ecc6-bc63-48f8-9104-f81dc90ee21c,,SCBU Newborn Register,The newborn (SCBU) register for Sierra Leone
9d701a81-bb83-40ea-9efc-af50f05575f2,,Mental Health Follow-up,The followup form for mental health
78d02c05-5b41-4cb6-8c7c-f2e64773489f,,Newborn Observations,Newborn daily observations at MCOE in Sierra Leone
928d21b1-9514-44a0-960f-bdad3551e0eb,,Newborn Referral,Newborn referral to NICU or SCBU at MCOE in Sierra Leone
ac5ec970-31b7-4659-9141-284bfbc13c69,,Labour Progress,Labor progression note at MCOE in Sierra Leone
37f04ddf-9653-4a02-98b4-1c23734c2f15,,Postpartum progress,Postpartum Maternal Daily Progress in Sierra Leone
fb4318dd-cca9-4d20-bb31-0d4eba947d74,,NICU Triage,NICU Triage in Sierra Leone
6f2df970-6e3e-4898-9a34-9d9e8955c3eb,,PACU Followup,Post-anesthesia care unit (PACU) Followup for Sierra Leone
2fd151a2-fbef-43e3-b82d-c3f70f1d7333,,Vitals with Glucose,Vitals modified with glucose measurement in Sierra Leone
48c413c4-e7f6-491a-8431-900451fe8a32,,NCD Initial Part 1 only,NCD Initial form in Sierra Leone (part 1 only)
43423212-6f70-4df8-a9f7-2aef88df1ee2,,NCD Initial Part 2 only,NCD Initial form in Sierra Leone (part 2 only)
e02a8c32-4f14-4ff7-a4e9-2f087d9a1cf7,,NCD Followup Part 1 only,NCD Followup form in Sierra Leone (part 1 only)
6a3afa6f-8f78-44a9-80c9-3f4f3b6ad8f2,,NCD Followup Part 2 only,NCD Followup form in Sierra Leone (part 2 only)
6b1c3929-f23c-423f-8cad-64b17cf10b99,,Inpatient Vitals,The inpatient vitals form for inpatient locations
b7a7c300-f7e5-4d38-a388-fc178ab02e78,,Postnatal Followup,Postnatal followup encounter
8e027b32-13de-491b-9f29-534d21a48f0d,,Ballard Score,Ballard assessment for physical maturity for newborn
ce67f875-726f-4314-abd5-6bcaec10d273,,ANC Progress,Inpatient Antenatal (ANC) progress for mother
f69b393e-1b8b-4c10-90ac-7161d95ad29d,,Pre-op Assessment,Pre-operative and intra-operative assessment for surgery
