Location,Admission Location,Antenatal Location,Appointment Location,Archives Location,Check-In Location,Check-In Maternal Location,Consult Note Location,Delivery Location,Dispensing Location,ED Triage Location,Infant Program Dashboard Location,Labs Component Location,Lab Results Location,Login Location,Maternal and Child Location,Maternal Admission Location,MCH Triage Location,Medical Record Location,Mental Health Location,NCD Consult Location,Newborn Admission Note Location,Newborn Assessment Location,Newborn Daily Progress Location,NICU Location,Postnatal Location,Pregnancy Program Dashboard Location,Program Location,Queue Location,Registration Location,Transfer Location,Visit Location,Vitals Location,Vitals Glucose Location,Vitals Inpatient Location
Mongo Bendugu CHC,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,TRUE,,,,TRUE,,,
Mongo Bendugu CHC Clinic,,,,TRUE,TRUE,,TRUE,,TRUE,,,TRUE,TRUE,TRUE,TRUE,,,,TRUE,,,,,,,,,,TRUE,,,TRUE,,
Mongo Bendugu CHC MCH,,,,TRUE,TRUE,,TRUE,,TRUE,,TRUE,TRUE,TRUE,,TRUE,,,,,,,,,,,TRUE,,,TRUE,,,,TRUE,
Mongo Bendugu CHC NCD,,,,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,,,,TRUE,,,,,,,,,,,,,TRUE,
Mongo Bendugu CHC Mental Health,,,,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,,,TRUE,,,,,,,,,,,,,TRUE,,
Mongo Bendugu CHC Laboratory,,,,TRUE,TRUE,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,
Mongo Bendugu CHC Pharmacy,,,,TRUE,TRUE,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,
Mongo Bendugu CHC Triage,,,,TRUE,TRUE,,TRUE,,TRUE,TRUE,,TRUE,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,
Falaba CHC,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,TRUE,,,,TRUE,,,
Falaba CHC Clinic,,,,TRUE,TRUE,,TRUE,,TRUE,,,TRUE,TRUE,TRUE,TRUE,,,,TRUE,,,,,,,,,,TRUE,,,TRUE,,
Falaba CHC Laboratory,,,,TRUE,TRUE,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,
Falaba CHC MCH,,,,TRUE,TRUE,,TRUE,,TRUE,,TRUE,TRUE,TRUE,,TRUE,,,,,,,,,,,TRUE,,,TRUE,,,,TRUE,
Falaba CHC Pharmacy,,,,TRUE,TRUE,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,
Falaba CHC Triage,,,,TRUE,TRUE,,TRUE,,TRUE,TRUE,,TRUE,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,
Falaba CHC NCD,,,,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,,,,TRUE,,,,,,,,,,,,,TRUE,
Falaba CHC Mental Health,,,,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,,,TRUE,,,,,,,,,,,,,TRUE,,
Sinkunia CHC,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,TRUE,,,,TRUE,,,
Sinkunia CHC Clinic,,,,TRUE,TRUE,,TRUE,,TRUE,,,TRUE,TRUE,TRUE,TRUE,,,,TRUE,,,,,,,,,,TRUE,,,TRUE,,
Sinkunia CHC Laboratory,,,,TRUE,TRUE,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,
Sinkunia CHC MCH,,,,TRUE,TRUE,,TRUE,,TRUE,,TRUE,TRUE,TRUE,,TRUE,,,,,,,,,,,TRUE,,,TRUE,,,,TRUE,
Sinkunia CHC Pharmacy,,,,TRUE,TRUE,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,
Sinkunia CHC Triage,,,,TRUE,TRUE,,TRUE,,TRUE,TRUE,,TRUE,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,
Sinkunia CHC NCD,,,,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,,,,TRUE,,,,,,,,,,,,,TRUE,
Sinkunia CHC Mental Health,,,,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,,,TRUE,,,,,,,,,,,,,TRUE,,
