filename,path,encounter_type,formName
ancFollowup.xml,configuration/pih/htmlforms/ancFollowup.xml,ANC_FOLLOWUP,AncFollowup
ancFollowup_v1.0.xml,configuration/pih/htmlforms/ancFollowup_v1.0.xml,ANC_FOLLOWUP,AncFollowup v1.0
ancFollowup_v1.1.xml,configuration/pih/htmlforms/ancFollowup_v1.1.xml,ANC_FOLLOWUP,AncFollowup v1.1
ancFollowup_v2.0.xml,configuration/pih/htmlforms/ancFollowup_v2.0.xml,ANC_FOLLOWUP,AncFollowup v2.0
ancIntake.xml,configuration/pih/htmlforms/ancIntake.xml,ANC_INTAKE,AncIntake
ancIntake_v1.0.xml,configuration/pih/htmlforms/ancIntake_v1.0.xml,ANC_INTAKE,AncIntake v1.0
ancIntake_v1.1.xml,configuration/pih/htmlforms/ancIntake_v1.1.xml,ANC_INTAKE,AncIntake v1.1
ancIntake_v2.0.xml,configuration/pih/htmlforms/ancIntake_v2.0.xml,ANC_INTAKE,AncIntake v2.0
ancProgress.xml,configuration/pih/htmlforms/ancProgress.xml,SIERRA_LEONE_ANC_PROGRESS (Sierra Leone ANC progress (inpatient)),ANC Progress
ballardScore.xml,configuration/pih/htmlforms/ballardScore.xml,SIERRA_LEONE_BALLARD_SCORE,Ballard Score
checkin.xml,configuration/pih/htmlforms/checkin.xml,CHECK_IN,Checkin
checkinMaternal.xml,configuration/pih/htmlforms/checkinMaternal.xml,CHECK_IN,Checkin Maternal
checkin_v2.0.xml,configuration/pih/htmlforms/checkin_v2.0.xml,CHECK_IN,Checkin v2.0
delivery.xml,configuration/pih/htmlforms/delivery.xml,MCH_DELIVERY,Delivery
delivery_v1.0.xml,configuration/pih/htmlforms/delivery_v1.0.xml,MCH_DELIVERY,Delivery v1.0
delivery_v1.1.xml,configuration/pih/htmlforms/delivery_v1.1.xml,MCH_DELIVERY,Delivery v1.1
delivery_v2.0.xml,configuration/pih/htmlforms/delivery_v2.0.xml,MCH_DELIVERY,Delivery v2.0
delivery_v3.0.xml,configuration/pih/htmlforms/delivery_v3.0.xml,MCH_DELIVERY,Delivery v3.0
dispensing.xml,configuration/pih/htmlforms/dispensing.xml,MEDICATION_DISPENSED,Dispensing
gainMaternalRegister.xml,configuration/pih/htmlforms/gainMaternalRegister.xml,,Gain Maternal Register
gainNewbornRegister.xml,configuration/pih/htmlforms/gainNewbornRegister.xml,,Gain Newborn Register
inpatientNewbornVitals.xml,configuration/pih/htmlforms/inpatientNewbornVitals.xml,,Inpatient Newborn Vitals
inpatientVitals.xml,configuration/pih/htmlforms/inpatientVitals.xml,,Inpatient Vitals
laborDeliverySummary.xml,configuration/pih/htmlforms/laborDeliverySummary.xml,LABOR_DELIVERY_SUMMARY,Labor Delivery Summary
