Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Subform: encounter-provider-location-date.xml,Other,Subform — configuration/pih/subforms/encounter-provider-location-date.xml,subform,No,no,,,,
Admission date/time,Date,N/A,date,No,no,CIEL:1640,,,
Grava,Coded,N/A,radio,No,no,CIEL:5624,,,
Para,Coded,N/A,radio,No,no,CIEL:1053,,,
Calculated Estimated Delivery Date,Date,N/A,date,No,no,CIEL:1427,,,
Gestational age (GA),Coded,N/A,radio,No,no,CIEL:165425,,,
Gestational age based on:,Coded,Ultrasound | Last menstrual date,radio,No,no,CIEL:160697,CIEL:159618|CIEL:1427,,
Subform: vital-signs-basic-widget.xml,Other,Subform — configuration/pih/subforms/vital-signs-basic-widget.xml,subform,No,no,,,,
Subform: lab-results-section.xml,Other,Subform — configuration/pih/subforms/lab-results-section.xml,subform,No,no,,,,
Pih task anc Progress,Coded,Haemorrhage | Hypertensive disorder | Infection | Malaria | Multiple gestation | UTI | Sickle-cell anaemia | Post-date pregnancy | Threatened abortion | Foetal distress | Other,checkbox,No,no,PIH:20542,CIEL:228|CIEL:117399|CIEL:145047|CIEL:116128|CIEL:115491|CIEL:111633|CIEL:117703|CIEL:113599|CIEL:112416|CIEL:118256|CIEL:5622,Pih task anc Progress,
Zl if Other Specify,Coded,N/A,radio,No,no,PIH:14679,,,
Zl if Other Specify,Coded,Normal | Oedema | Jaundice | Pallor,checkbox,No,no,PIH:GENERAL EXAM FINDINGS,CIEL:1115|CIEL:460|CIEL:136443|CIEL:5245,Zl if Other Specify,
Other Non-Coded,Coded,Other,checkbox,No,no,PIH:GENERAL EXAM FINDINGS,PIH:OTHER NON-CODED,,
Comment,Coded,N/A,radio,No,no,CIEL:163042,,,
Previous abdominal scar,Coded,Yes | No,radio,No,Yes → show #ab-scar-details,CIEL:166893,CIEL:1065|CIEL:1066,,
Symp Fundal Ht,Coded,N/A,radio,No,no,CIEL:1439,,,
Symp Fundal Ht,Coded,twins or triplets,checkbox,No,no,PIH:DIAGNOSIS,CIEL:115491,Symp Fundal Ht,PIH:Visit Diagnoses
Number of foetuses,Coded,N/A,radio,No,no,PIH:21404,,,
# of previous c-sections,Coded,N/A,radio,No,no,CIEL:160081,,,
Description of scar,Coded,N/A,radio,No,no,CIEL:168244,,,
Uterine contraction (UC),Coded,Absent | Present,radio,No,no,CIEL:163750,CIEL:163747|CIEL:163748,,
Induced labor,Coded,Yes | No,radio,No,no,CIEL:151750,CIEL:1065|CIEL:1066,,
Uterus Palpation,Coded,Tender Uterus | Non Sensitive Uterus,radio,No,no,CIEL:167035,CIEL:167036|CIEL:167037,,
Amniotic fluid index (AFI),Coded,Normal | Low | High,radio,No,no,CIEL:165388,CIEL:1115|CIEL:162648|CIEL:164471,,
Vaginal examination (V/E),Text,N/A,text,No,no,CIEL:160969,,,
Diagnoses (encounterDiagnosesByObs),Other,Pick diagnoses,diagnoses widget,No,no,,,,
Pih app notes summary,Text,N/A,textarea,No,no,CIEL:161011,,,
Overall condition,Coded,Satisfactory | Deteriorated | Unsatisfactory,radio,No,no,CIEL:160116,CIEL:160113|CIEL:160115|CIEL:159407,,
Disposition,Other,Disposition widget,disposition widget,Yes,no,,,,
Pih app notes summary,Text,N/A,textarea,No,no,CIEL:161011,,,
