Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Subform: encounter-provider-location-date.xml,Other,Subform — configuration/pih/subforms/encounter-provider-location-date.xml,subform,No,no,,,,
"Has anyone hit, kicked, punched, or otherwise hurt you in the past year?",Coded,Yes | No,radio,Yes,no,PIH:21679,CIEL:1065|CIEL:1066,,
"Has anyone insulted you, ignored you, yelled at you or made you feel ashamed or bad about yourself in the past year?",Coded,Yes | No,radio,Yes,no,PIH:21680,CIEL:1065|CIEL:1066,,
"Has anyone forced you to have sex, or perform any sexual act or touched you sexually in any way that you did not want in the past year?",Coded,Yes | No,radio,Yes,no,PIH:21681,CIEL:1065|CIEL:1066,,
"Has anyone made you feel afraid, unsafe or in danger in the past year?",Coded,Yes | No,radio,Yes,no,PIH:21682,CIEL:1065|CIEL:1066,,
Referred from:,Coded,N/A,radio,No,Other → show #other-ref-text,PIH:21696,,,
"If other, please specify",Text,N/A,textarea,No,no,PIH:6421,,,
Referred by:,Coded,Teachers | Peers | Self | out of school youth | self-referral following AYFS message,radio,No,no,PIH:Type of referral role,PIH:Teacher|CIEL:170188|CIEL:978|PIH:21702|PIH:21698,,
Self,Coded,in school | out of school,radio,No,no,PIH:21684,CIEL:1065|CIEL:1066,,
Start Date,Coded,Ethinyl estradoil / Levonorgestrel | Combined oral contraceptive pills | Levonorgestrel | Norethindrone | Condoms | Medroxyprogesterone acetate (Depo-provera) | Sayana press | Copper T IUD | Mirena hormone-eluting intrauterine device (IUD) | Jadelle (implantable contraceptive) | Etonogestrel | Implant | Natural family planning,checkbox,No,no,CIEL:374,CIEL:104625|CIEL:159783|CIEL:78796|CIEL:80784|CIEL:190|CIEL:907|PIH:21450|PIH:21478|CIEL:165464|CIEL:1873|CIEL:76022|CIEL:162422|CIEL:5277,Start Date,PIH:Family planning history construct
Family planning start date,Coded,N/A,radio,No,no,CIEL:163757,,,PIH:Family planning history construct
Family planning start date,Coded,N/A,radio,No,no,CIEL:163757,,,PIH:Family planning history construct
Family planning start date,Coded,N/A,radio,No,no,CIEL:163757,,,PIH:Family planning history construct
Family planning start date,Coded,N/A,radio,No,no,CIEL:163757,,,PIH:Family planning history construct
Family planning start date,Coded,N/A,radio,No,no,CIEL:163757,,,PIH:Family planning history construct
Family planning start date,Coded,N/A,radio,No,no,CIEL:163757,,,PIH:Family planning history construct
Family planning start date,Coded,N/A,radio,No,no,CIEL:163757,,,PIH:Family planning history construct
Family planning start date,Coded,N/A,radio,No,no,CIEL:163757,,,PIH:Family planning history construct
