Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Subform: encounter-provider-location-date.xml,Other,Subform — configuration/pih/subforms/encounter-provider-location-date.xml,subform,No,no,,,,
Subform: score.css,Other,Subform — configuration/pih/htmlforms/css/score.css,subform,No,no,,,,
Subform: 37-Grid.css,Other,Subform — configuration/pih/htmlforms/css/37-Grid.css,subform,No,no,,,,
Posture score,Coded,N/A,radio,No,no,PIH:21371,,,
Square window score,Coded,N/A,radio,No,no,PIH:21372,,,
Arm recoil score,Coded,N/A,radio,No,no,PIH:21373,,,
Popliteal angle score,Coded,N/A,radio,No,no,PIH:21374,,,
Scarf sign score,Coded,N/A,radio,No,no,PIH:21375,,,
Heel to ear score,Coded,N/A,radio,No,no,PIH:21376,,,
Total neuromuscular maturity score,Coded,N/A,radio,No,no,PIH:21384,,,
Skin score,Coded,N/A,radio,No,no,PIH:21377,,,
Lanugo score,Coded,N/A,radio,No,no,PIH:21378,,,
Plantar surface score,Coded,N/A,radio,No,no,PIH:21379,,,
Breast score,Coded,N/A,radio,No,no,PIH:21380,,,
Eye/Ear score,Coded,N/A,radio,No,no,PIH:21381,,,
Genitals (Male) score,Coded,N/A,radio,No,no,PIH:21382,,,
Genitals (Female) score,Coded,N/A,radio,No,no,PIH:21383,,,
Total physical maturity score,Coded,N/A,radio,No,no,PIH:21385,,,
Gestational by date,Coded,N/A,radio,No,no,CIEL:163166,,,
Apgar Score1,Coded,N/A,radio,No,no,PIH:14419,,,
Apgar Score,Coded,N/A,radio,No,no,CIEL:159604,,,
Maturity rating total Score,Coded,N/A,radio,No,no,PIH:21386,,,
Gestational age by maturity,Coded,N/A,radio,No,no,PIH:21414,,,
