Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Posture,obsNumeric,-1;0;1;2;3;4;5,clickable image,false,,PIH:21371,,Neuromuscular maturity,
Square Window,obsNumeric,-1;0;1;2;3;4;5,clickable image,false,,PIH:21372,,Neuromuscular maturity,
Arm Recoil,obsNumeric,-1;0;1;2;3;4;5,clickable image,false,,PIH:21373,,Neuromuscular maturity,
Popliteal Angle,obsNumeric,-1;0;1;2;3;4;5,clickable image,false,,PIH:21374,,Neuromuscular maturity,
Scarf Sign,obsNumeric,-1;0;1;2;3;4;5,clickable image,false,,PIH:21375,,Neuromuscular maturity,
Heel To Ear,obsNumeric,-1;0;1;2;3;4;5,clickable image,false,,PIH:21376,,Neuromuscular maturity,
Total neuromuscular score,obsNumeric,,calculated / text,true,,PIH:21384,,Neuromuscular maturity,
Skin,obsNumeric,-1;0;1;2;3;4;5,clickable cell,false,,PIH:21377,,Physical maturity,
Lanugo,obsNumeric,-1;0;1;2;3;4;5,clickable cell,false,,PIH:21378,,Physical maturity,
Plantar Surface,obsNumeric,-1;0;1;2;3;4;5,clickable cell,false,,PIH:21379,,Physical maturity,
Breast,obsNumeric,-1;0;1;2;3;4;5,clickable cell,false,,PIH:21380,,Physical maturity,
Eye / Ear,obsNumeric,-1;0;1;2;3;4;5,clickable cell,false,,PIH:21381,,Physical maturity,
Genitals (Male),obsNumeric,-1;0;1;2;3;4;5,clickable cell,false,includeIf $patient.gender == 'M',PIH:21382,,Physical maturity,
Genitals (Female),obsNumeric,-1;0;1;2;3;4;5,clickable cell,false,includeIf $patient.gender == 'F',PIH:21383,,Physical maturity,
Total physical maturity score,obsNumeric,,calculated / text,false,,PIH:21385,,Physical maturity,
Gestational age (by date),obsNumeric,,number/text,false,,CIEL:163166,,Final scoring,
Birthdate,person.birthdate,,display,false,,,,Final scoring,
APGAR at 1 minute,obsNumeric,,number,false,,PIH:14419,,Final scoring,
APGAR at 5 minutes,obsNumeric,,number,false,,CIEL:159604,,Final scoring,
Maturity rating total score,obsNumeric,,calculated / text,false,,PIH:21386,,Final scoring,
Gestational age (by maturity),obsNumeric,,number + units (weeks),false,,PIH:21414,,Final scoring,
