Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Subform: encounter-provider-location-date.xml,Other,Subform — configuration/pih/subforms/encounter-provider-location-date.xml,subform,No,no,,,,
Subform: prior-vital-signs-widget.xml,Other,Subform — configuration/pih/subforms/prior-vital-signs-widget.xml,subform,No,no,,,,
Para,Coded,N/A,radio,No,no,CIEL:1053,,,
Last menstrual period (LMP),Coded,N/A,radio,No,no,CIEL:1427,,,
FP method,Coded,Ethinyl estradoil / Levonorgestrel | Combined oral contraceptive pills | Levonorgestrel | Norethindrone | Condoms | Medroxyprogesterone acetate (Depo-provera) | Sayana press | Copper T IUD | Mirena hormone-eluting intrauterine device (IUD) | Jadelle (implantable contraceptive) | Etonogestrel | Implant | Natural family planning | Lactational amenorrhea | Tubal ligation | Vasectomy,checkbox,No,no,CIEL:374,CIEL:104625|CIEL:159783|CIEL:78796|CIEL:80784|CIEL:190|CIEL:907|PIH:21450|PIH:21478|CIEL:165464|CIEL:1873|CIEL:76022|CIEL:162422|CIEL:5277|CIEL:136163|CIEL:1472|CIEL:1489,FP method,PIH:Family planning history construct
Abnormal vaginal bleeding?,Coded,Yes | No,radio,No,no,CIEL:150802,CIEL:1065|CIEL:1066,,
Screened for cervical cancer before?,Coded,Yes | No,radio,No,no,PIH:21485,CIEL:1065|CIEL:1066,,
Current abnormal PV discharge?,Coded,Yes | No,radio,No,no,PIH:21486,CIEL:1065|CIEL:1066,,
History of STD?,Coded,Yes | No,radio,No,no,CIEL:156660,CIEL:1065|CIEL:1066,,
Age at first coitus,Coded,less than 15 | above 15 years old,radio,No,no,PIH:21487,PIH:21488|PIH:21489,,
Age at first birth,Coded,N/A,radio,No,no,CIEL:160339,,,
Cigarette smoking?,Coded,Yes | No,radio,No,no,CIEL:163731,CIEL:1065|CIEL:1066,,
Other OB/Gynecology history,Coded,Dysmenorrhea | Prior cesarean delivery,checkbox,No,no,PIH:DIAGNOSIS,CIEL:127|CIEL:113814,Other OB/Gynecology history,PIH:Visit Diagnoses
Other OB/Gynecology history,Text,N/A,textarea,No,no,CIEL:160221,,,
Cervical Cancer Screening,Coded,"VIA screening | Postponed cryotherapy | Treatment complication related | Cryotherapy, TA, LEEP | One year follow-up | One year follow-up appointment after cryotherapy treatment at last visit | Routine VIA screening | Screening patient who had VIA-negative at last screening visit | Referral for Cryotherapy, TA, LEEP",radio,No,no,CIEL:164181,PIH:21609|PIH:21600|PIH:21601|PIH:21602|PIH:21603|PIH:21604|PIH:21605|PIH:21606|PIH:21607,,
HIV Status,Coded,Positive | Negative | Unknown,radio,No,no,PIH:3753,CIEL:703|CIEL:664|CIEL:1067,,
ART Status,Coded,on ART | not on ART,radio,No,no,CIEL:160119,CIEL:1065|CIEL:1066,,
HCT accepted,Coded,Yes | No,radio,No,no,CIEL:165328,CIEL:1065|CIEL:1066,,
Lower abdomen tenderness,Coded,Yes | No,radio,No,no,PIH:21616,CIEL:1065|CIEL:1066,,
Abnormal vaginal discharge,Coded,Yes | No,radio,No,no,CIEL:123395,CIEL:1065|CIEL:1066,,
Perineum exam,Text,N/A,textarea,No,no,PIH:20128,,,
Vulva exam,Text,N/A,textarea,No,no,PIH:21618,,,
Vaginal bleeding,Coded,Yes | No,radio,No,no,CIEL:147232,CIEL:1065|CIEL:1066,,
Cervix exam,Text,N/A,textarea,No,no,CIEL:160968,,,
Diagnoses (encounterDiagnosesByObs),Other,Pick diagnoses,diagnoses widget,No,no,,,,
Subform: rapid-tests-widget.xml,Other,Subform — configuration/pih/subforms/rapid-tests-widget.xml,subform,No,no,,,,
Clinical breast exam (CBE),Coded,Completed | Not done | Unknown,radio,No,no,PIH:14180,CIEL:1267|CIEL:1118|CIEL:1067,,
Other integrated services,Text,N/A,textarea,No,no,PIH:21595,,,
Quadrants&nbsp;involved,Coded,Left upper quadrant | Right upper quadrant | Right lower quadrant | Left lower quadrant,checkbox,No,no,PIH:21500,CIEL:160380|CIEL:5107|CIEL:160381|CIEL:5104,Quadrants&nbsp;involved,
Quadrants&nbsp;involved,Coded,Endocervical (EC) canal,checkbox,No,no,PIH:21500,PIH:21623,,
Screening results,Coded,VIA negative | VIA positive | Suspect cancer,radio,No,Positive → show #via+,CIEL:162816,CIEL:664|CIEL:703|CIEL:167159,,
