Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Subform: encounter-provider-location-date.xml,Other,Subform — configuration/pih/subforms/encounter-provider-location-date.xml,subform,No,no,,,,
Family Planning Initial,Coded,Physical disability | Visual impairment | Speech and language impairment | Hearing impairment | Learning impairment | Multiple,checkbox,No,no,CIEL:162558,PIH:21469|CIEL:159298|CIEL:112846|CIEL:139075|CIEL:153343|PIH:21470,Family Planning Initial,
Family Planning Initial,Coded,Method switch | Post abortion,checkbox,No,no,PIH:13236,CIEL:163494|PIH:14376,Family Planning Initial,
For post-partum family planning,Coded,Less than 48 hours | 48 hours to 6 weeks | 7 weeks - 1 year,radio,No,no,PIH:21472,PIH:21473|PIH:21474|PIH:21475,,
Subform: prior-vital-signs-widget.xml,Other,Subform — configuration/pih/subforms/prior-vital-signs-widget.xml,subform,No,no,,,,
Subform: vital-signs-wt-ht-bp-widget.xml,Other,Subform — configuration/pih/subforms/vital-signs-wt-ht-bp-widget.xml,subform,No,no,,,,
Start Date,Coded,Ethinyl estradoil / Levonorgestrel | Combined oral contraceptive pills | Levonorgestrel | Norethindrone | Condoms | Medroxyprogesterone acetate (Depo-provera) | Sayana press | Copper T IUD | Mirena hormone-eluting intrauterine device (IUD) | Jadelle (implantable contraceptive) | Etonogestrel | Implant | Natural family planning | Lactational amenorrhea | Tubal ligation | Vasectomy,checkbox,No,no,CIEL:374,CIEL:104625|CIEL:159783|CIEL:78796|CIEL:80784|CIEL:190|CIEL:907|PIH:21450|PIH:21478|CIEL:165464|CIEL:1873|CIEL:76022|CIEL:162422|CIEL:5277|CIEL:136163|CIEL:1472|CIEL:1489,Start Date,PIH:Family planning history construct
Family planning start date,Coded,N/A,radio,No,no,CIEL:163757,,,PIH:Family planning history construct
Family planning start date,Coded,N/A,radio,No,no,CIEL:163757,,,PIH:Family planning history construct
Family planning start date,Coded,N/A,radio,No,no,CIEL:163757,,,PIH:Family planning history construct
Family planning start date,Coded,N/A,radio,No,no,CIEL:163757,,,PIH:Family planning history construct
Family planning start date,Coded,N/A,radio,No,no,CIEL:163757,,,PIH:Family planning history construct
Family planning start date,Coded,N/A,radio,No,no,CIEL:163757,,,PIH:Family planning history construct
Family planning start date,Coded,N/A,radio,No,no,CIEL:163757,,,PIH:Family planning history construct
Family planning start date,Coded,N/A,radio,No,no,CIEL:163757,,,PIH:Family planning history construct
Family planning start date,Coded,N/A,radio,No,no,CIEL:163757,,,PIH:Family planning history construct
Family planning start date,Coded,N/A,radio,No,no,CIEL:163757,,,PIH:Family planning history construct
Family planning start date,Coded,N/A,radio,No,no,CIEL:163757,,,PIH:Family planning history construct
Family planning start date,Coded,N/A,radio,No,no,CIEL:163757,,,PIH:Family planning history construct
