"name","concept_id","source","code"
Acute bronchitis,4897,PIH,"10"
Gentamicin,2250,PIH,"100"
Whole blood,2834,PIH,"1000"
Keratoderma punctata,4962,PIH,"10004"
Secondary impetiginization,5009,PIH,"10005"
Sclerodactyly,4990,PIH,"10006"
Hypertrichosis,4988,PIH,"10007"
Excoriated acne,4967,PIH,"10008"
Borderline lepromatous leprosy,5019,PIH,"10009"
Dermatitis Factitia,5005,PIH,"10010"
Fungal nail infection,3466,PIH,"10011"
Female Pelvic Peritoneal Adhesions,4119,PIH,"10012"
Syphilitic chancre,4944,PIH,"10013"
Calcinosis Cutis,4968,PIH,"10014"
Chronic Urticaria,5055,PIH,"10015"
Dermatographic Urticaria,5029,PIH,"10016"
Lichen sclerosus et atrophicus,5002,PIH,"10017"
Lichen Planus,5006,PIH,"10018"
Stevens-Johnson Syndrome,5053,PIH,"10019"
Plasma,2852,PIH,"1002"
Dystrophia Unguium,4940,PIH,"10020"
Skin Striae,4985,PIH,"10021"
Erysipelas,4983,PIH,"10022"
Chromomycosis,4956,PIH,"10023"
Bromhidrosis,4949,PIH,"10024"
Pseudofolliculitis Barbae,5044,PIH,"10025"
Rosacea,4954,PIH,"10026"
Pseudopelade,5010,PIH,"10027"
Lichen Nitidus,5054,PIH,"10028"
Systemic sclerosis,5056,PIH,"10029"
Bullous Pemphigoid,5025,PIH,"10030"
Plaque psoriasis,5040,PIH,"10031"
Chloasma,5057,PIH,"10032"
Ophiasis,4946,PIH,"10033"
Lichen Simplex Chronicus,5028,PIH,"10034"
Benign Mucous Membrane Pemphigoid,4960,PIH,"10035"
Onycholysis,4966,PIH,"10036"
Hyperkeratosis Follicularis in Cutem Penetrans,4975,PIH,"10037"
Lichen Planopilaris,4945,PIH,"10038"
Irritant contact dermatitis,5001,PIH,"10039"
Dermatitis herpetiformis,4965,PIH,"10040"
Large Plaque Parapsoriasis,4979,PIH,"10041"
Actinomycotic Infection,5033,PIH,"10042"
Ainhum,4941,PIH,"10043"
Benign Neoplasm of Uterine Cervix,4013,PIH,"10044"
Telogen effluvium,5036,PIH,"10045"
Ephelides,4953,PIH,"10046"
Erythema multiforme,4948,PIH,"10047"
Scarring Alopecia,4969,PIH,"10048"
Morphea,5041,PIH,"10049"
Sunburn of Third Degree,5004,PIH,"10050"
Alopecia Totalis,5035,PIH,"10051"
Leishmaniasis,4680,PIH,"10052"
Corns and Callus,5017,PIH,"10053"
Male pattern alopecia,5008,PIH,"10054"
Radiation Dermatitis,4974,PIH,"10055"
Subcorneal Pustular Dermatosis,5051,PIH,"10056"
Acanthosis nigricans,5032,PIH,"10057"
Discoid lupus erythematosus,4971,PIH,"10058"
Tuberculoid Leprosy (Type T),5020,PIH,"10059"
Total cholesterol,3139,PIH,"1006"
Pediculosis,5049,PIH,"10060"
Erythema Nodosum,5021,PIH,"10061"
CREST Syndrome,4947,PIH,"10062"
Borderline tuberculoid leprosy,4981,PIH,"10063"
Infestation by Fly Larvae,4992,PIH,"10064"
Postinflammatory hyperpigmentation,5031,PIH,"10065"
Pemphigus foliaceus,5007,PIH,"10066"
Hypertrophic Lichen Planus,5024,PIH,"10067"
Linear Morphoea,5016,PIH,"10068"
Hidradenitis suppurativa,4937,PIH,"10069"
HDL,3148,PIH,"1007"
Pemphigus Vulgaris,5011,PIH,"10070"
Blastomycosis,5058,PIH,"10071"
Mycetoma,4950,PIH,"10072"
Polyarteritis nodosa,4977,PIH,"10073"
Sunburn of Second Degree,4993,PIH,"10074"
Vesicular eczema of hands and/or feet,4943,PIH,"10075"
Elastosis Perforans Serpiginosa,4998,PIH,"10076"
Acne conglobata,4939,PIH,"10077"
Acne vulgaris,4951,PIH,"10078"
LDL,2897,PIH,"1008"
Mucinosis of skin,5042,PIH,"10080"
Tunga Penetrans Infestation,5046,PIH,"10081"
Cholinergic Angio-Oedema-Urticaria,5023,PIH,"10082"
Borderline Leprosy,4984,PIH,"10083"
Staphylococcal scalded skin syndrome,4933,PIH,"10084"
Seborrheic keratosis,4963,PIH,"10085"
Miliaria Crystallina,4980,PIH,"10086"
Acrodermatitis Atrophicans Chronica,5013,PIH,"10087"
Alopecia Universalis,4997,PIH,"10088"
Indeterminate Leprosy,5034,PIH,"10089"
Triglycerides (mmol/L),7844,PIH,"1009"
Enteroviral vesicular stomatitis with exanthem,4957,PIH,"10090"
Hirsutism,5059,PIH,"10091"
Sporotrichosis,4987,PIH,"10092"
"Urticaria, Solar",4989,PIH,"10093"
Folliculitis decalvans,5052,PIH,"10094"
Condyloma Latum,5047,PIH,"10095"
Erythrasma,4942,PIH,"10096"
Lepromatous Leprosy,5022,PIH,"10097"
Benign Neoplasm of Fallopian Tube,4089,PIH,"10098"
Perioral dermatitis,5037,PIH,"10099"
Lipid panel,2913,PIH,"1010"
Latent labor,4051,PIH,"10100"
Vitiligo,4978,PIH,"10101"
Subacute Cutaneous Lupus Erythematosus,5000,PIH,"10102"
Pyoderma gangrenosum,4982,PIH,"10103"
Actinic Keratosis,4972,PIH,"10104"
"Lyell's Toxic Epidermal Necrolysis, Subepidermal Type",5030,PIH,"10105"
Epidermoid cyst,4935,PIH,"10106"
Relapsing Febrile Nodular Nonsuppurative Panniculitis,4976,PIH,"10107"
Small plaque parapsoriasis,5048,PIH,"10108"
Onychogryposis,4959,PIH,"10109"
Allergic contact dermatitis,4999,PIH,"10110"
Tinea Manus,4994,PIH,"10111"
Behcet's Syndrome,5043,PIH,"10112"
Necrobiosis lipoidica,5045,PIH,"10113"
Sunburn of First Degree,5039,PIH,"10114"
Fox-Fordyce Disease,5026,PIH,"10115"
Asteatosis cutis,4991,PIH,"10116"
Pyogenic granuloma,4970,PIH,"10117"
Pityriasis rubra pilaire,4938,PIH,"10118"
Guttate Psoriasis,4952,PIH,"10119"
Alopecia areata,4934,PIH,"10120"
Cafe-Au-Lait Spots,4958,PIH,"10121"
Lichen Striatus,4955,PIH,"10122"
Granuloma Annulare,4996,PIH,"10123"
Pityriasis Alba,5038,PIH,"10124"
Tinea pedis,5014,PIH,"10125"
Acute lichenoid pityriasis,5050,PIH,"10126"
Polymyositis-Dermatomyositis,5012,PIH,"10127"
Nummular Eczema,4973,PIH,"10128"
Carcinoma in Situ of Female Genital Organ,4052,PIH,"10129"
Acne keloid,4995,PIH,"10130"
Eczema Herpeticum,5015,PIH,"10131"
Torsion of Ovary,4049,PIH,"10133"
Hemoglobinopathy,1764,PIH,"10134"
Congenital malformation,1663,PIH,"10135"
Chief complaint (text),1187,PIH,"10137"
PIH vital signs set,1194,PIH,"10138"
Premature birth of patient,1763,PIH,"10139"
Lactate dehydrogenase,3191,PIH,"1014"
Past medical history finding,33,PIH,"10140"
Sign/symptom present,34,PIH,"10141"
Past medical history added (text),35,PIH,"10142"
Past medical history,36,PIH,"10143"
Family history diagnosis,37,PIH,"10144"
Family history comment,39,PIH,"10145"
Patient's family history list,40,PIH,"10146"
Voodoo,131,PIH,"10147"
Catholic,132,PIH,"10148"
Baptist,133,PIH,"10149"
Hematocrit,3002,PIH,"1015"
Islam,134,PIH,"10150"
Pentecostal,135,PIH,"10151"
Seventh Day Adventist,136,PIH,"10152"
Jehovah's Witness,137,PIH,"10153"
Religion,143,PIH,"10154"
Address of contact person,147,PIH,"10155"
Immunizations,162,PIH,"10156"
Vaccination sequence number,164,PIH,"10157"
Immunization history,165,PIH,"10158"
Red cell distribution width,3157,PIH,"1016"
Mean cell hemoglobin concentration,3017,PIH,"1017"
Vaccination date,163,PIH,"10170"
Pentavalent pneumovax,168,PIH,"10171"
"Rotavirus vaccine, live",169,PIH,"10172"
Measles-Rubella vaccine,170,PIH,"10173"
Number of occurrences,974,PIH,"10174"
Mean corpuscular hemoglobin,3014,PIH,"1018"
Hemogram,3158,PIH,"1019"
Drug toxicity,1332,PIH,"102"
Lymphocyte %,3009,PIH,"1021"
Neutrophils %,3003,PIH,"1022"
Monocyte %,3010,PIH,"1023"
Eosinophil %,3006,PIH,"1024"
Basophils %,3004,PIH,"1025"
Rectally,1378,PIH,"10283"
Intranasal,1371,PIH,"10284"
In right eye,1376,PIH,"10285"
In both eyes,1366,PIH,"10286"
In left eye,1359,PIH,"10287"
Inhalation,1370,PIH,"10288"
In left ear,1369,PIH,"10289"
Subcutaneous,1365,PIH,"10290"
Intramuscular,1374,PIH,"10291"
Intraosseous,1375,PIH,"10292"
Vaginally,1360,PIH,"10293"
Per NG tube,1377,PIH,"10294"
In right ear,1363,PIH,"10295"
Transdermal,1368,PIH,"10296"
In both ears,1361,PIH,"10297"
Routes of administration,1379,PIH,"10298"
Puff,298,PIH,"10299"
"HIV DNA Polymerase chain reaction, qualitative",3125,PIH,"1030"
Million units,312,PIH,"10300"
Nebulizer,289,PIH,"10301"
Pad,293,PIH,"10302"
Syringe,313,PIH,"10303"
Kilogram,296,PIH,"10304"
Bar,304,PIH,"10305"
Enema,311,PIH,"10306"
Gram,327,PIH,"10307"
Milliequivalent,297,PIH,"10308"
Liter,321,PIH,"10309"
Milligram,324,PIH,"10311"
Inch,306,PIH,"10312"
Gum,301,PIH,"10313"
Tablet,287,PIH,"10314"
Metric drop,316,PIH,"10315"
Spray,326,PIH,"10316"
Tablespoon,292,PIH,"10317"
Drop,286,PIH,"10318"
Microgram,309,PIH,"10319"
Suppository,299,PIH,"10320"
Milliliter,303,PIH,"10321"
Fluid ounce,315,PIH,"10322"
Ampule(s),325,PIH,"10323"
Container,323,PIH,"10324"
Ring pessary,319,PIH,"10325"
Vial,322,PIH,"10326"
Patch,318,PIH,"10327"
Lozenge,285,PIH,"10328"
International units,288,PIH,"10329"
Biscuit wafer,308,PIH,"10330"
Scoopful,307,PIH,"10331"
Pint,284,PIH,"10332"
Teaspoon,317,PIH,"10333"
Unit,300,PIH,"10334"
Can,290,PIH,"10335"
Gallon,310,PIH,"10336"
Dosing unit,328,PIH,"10337"
Dose pack,1351,PIH,"10338"
Packets,1349,PIH,"10339"
Each,1353,PIH,"10340"
Bag,1356,PIH,"10341"
Cartridge,1352,PIH,"10342"
Kit,1350,PIH,"10343"
Box,1355,PIH,"10344"
Dispensing units,1357,PIH,"10345"
Immunization visit,418,PIH,"10346"
Maternal and child health program,422,PIH,"10347"
Stage I,220,PIH,"10348"
Stage IVB,212,PIH,"10349"
Stage 0,225,PIH,"10350"
Stage IIA,223,PIH,"10351"
Stage II,224,PIH,"10352"
Stage IIB,214,PIH,"10354"
Stage IVA,215,PIH,"10355"
Stage IIC,213,PIH,"10356"
ECOG Performance Status,273,PIH,"10358"
Palliative treatment,191,PIH,"10359"
Stage IVC,221,PIH,"10360"
Stage IC,217,PIH,"10361"
Stage IIIA,222,PIH,"10362"
Stage IIIB,216,PIH,"10363"
Curative treatment,190,PIH,"10364"
Stage IB,219,PIH,"10365"
Stage IV,205,PIH,"10366"
Stage III,211,PIH,"10367"
Stage IA,226,PIH,"10368"
Boost treatment intent,6180,PIH,"10369"
Stage IIIC,218,PIH,"10372"
Overall cancer stage group,227,PIH,"10373"
Indication/intent of therapy,6181,PIH,"10374"
Life threatening severity,1444,PIH,"10375"
Severity of adverse reaction,1445,PIH,"10376"
Labor and delivery visit,423,PIH,"10377"
Birthplace address construct,88,PIH,"10378"
Address1 concept,86,PIH,"10379"
