Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Subform: encounter-provider-location-date.xml,Other,Subform — configuration/pih/subforms/encounter-provider-location-date.xml,subform,No,no,,,,
Admission date/time,Date,N/A,date,No,no,CIEL:1640,,,
Grava,Coded,N/A,radio,No,no,CIEL:5624,,,
Para,Coded,N/A,radio,No,no,CIEL:1053,,,
Gestational age,Coded,N/A,radio,No,no,CIEL:165425,,,
PAC (PostAbortion Care) type,Coded,Misoprostol,checkbox,No,no,PIH:14376,CIEL:79984,,
PAC (PostAbortion Care) type,Coded,Mifepristone / Misoprostol combination,checkbox,No,no,PIH:14376,CIEL:162484,,
PAC (PostAbortion Care) type,Coded,Manual vacuum aspiration,checkbox,No,no,PIH:14376,CIEL:159728,,
PAC (PostAbortion Care) type,Coded,Dilation and curettage,checkbox,No,no,PIH:14376,CIEL:1637,,
Time of start of labour,Date,N/A,date,No,no,CIEL:163444,,,
Presentation and position:,Coded,N/A,radio,No,no,CIEL:160090,,,
Zl if Other Specify,Coded,N/A,radio,No,no,PIH:14414,,,
Delivery date/time,Date,N/A,date,No,no,CIEL:5599,,,
Delivery type,Coded,Normal | Assisted (vacuum or instrument) | C-section,radio,No,no,PIH:11663,CIEL:1170|CIEL:166425|CIEL:155884,,
Delivery outcome,Coded,Alive | FSB | MSB,radio,No,no,CIEL:159917,CIEL:151849|CIEL:159916|CIEL:135436,,
Was the partograph used?,Coded,Yes | No,radio,No,no,PIH:13964,CIEL:1065|CIEL:1066,,
Uterotonic given immediately after birth? (Oxytocin/ Misoprostol),Coded,Yes | No,radio,No,no,PIH:14373,CIEL:1065|CIEL:1066,,
Alive,Coded,Yes | No,radio,No,no,CIEL:1571,CIEL:1065|CIEL:1066,,
Sex,Coded,M | F,radio,No,no,CIEL:1587,CIEL:1534|CIEL:1535,,
(Birth) Weight (kg),Coded,N/A,radio,No,no,CIEL:5916,,,
APGAR score,Coded,N/A,radio,No,no,CIEL:1504,,,
Breastfeeding initiated within 1 hour after birth,Coded,Yes | No,radio,No,no,CIEL:161543,CIEL:1065|CIEL:1066,,
Initial diagnosis (autocomplete),Coded,N/A,autocomplete,No,no,PIH:DIAGNOSIS,,,PIH:14391
Initial diagnosis (autocomplete),Coded,N/A,autocomplete,No,no,PIH:DIAGNOSIS,,,PIH:14391
Initial diagnosis (autocomplete),Coded,N/A,autocomplete,No,no,PIH:DIAGNOSIS,,,PIH:14391
other (free-text):,Coded,N/A,radio,No,no,CIEL:161602,,Initial diagnosis (autocomplete),PIH:14391
Final diagnosis (autocomplete),Coded,N/A,autocomplete,No,no,PIH:DIAGNOSIS,,,CIEL:159947
Final diagnosis (autocomplete),Coded,N/A,autocomplete,No,no,PIH:DIAGNOSIS,,,CIEL:159947
Final diagnosis (autocomplete),Coded,N/A,autocomplete,No,no,PIH:DIAGNOSIS,,,CIEL:159947
other (free-text):,Coded,N/A,radio,No,no,CIEL:161602,,Final diagnosis (autocomplete),CIEL:159947
Counselled on family planning before discharge,Coded,Yes | No,radio,No,no,CIEL:1382,CIEL:1065|CIEL:1066,,
Accepted and received a family planning before discharge,Coded,Yes | No,radio,No,no,CIEL:166421,CIEL:1065|CIEL:1066,,
Encounter Date,Date,N/A,date/time,Yes,no,encounterDate,,,
Disposition,Other,Disposition widget,disposition widget,Yes,no,,,,
HCW Name,Coded,N/A,radio,No,no,PIH:6592,,PAC (PostAbortion Care) type,CIEL:163391
HCW Cadre:,Coded,N/A,radio,No,Other → show #other-role,CIEL:1573,,PAC (PostAbortion Care) type,CIEL:163391
Zl if Other Specify,Coded,N/A,radio,No,no,PIH:14415,,PAC (PostAbortion Care) type,CIEL:163391
