Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Subform: encounter-provider-location-date.xml,Other,Subform — configuration/pih/subforms/encounter-provider-location-date.xml,subform,No,no,,,,
Subform: prior-vital-signs-widget.xml,Other,Subform — configuration/pih/subforms/prior-vital-signs-widget.xml,subform,No,no,,,,
Subform: vital-signs-wt-ht-bp-widget.xml,Other,Subform — configuration/pih/subforms/vital-signs-wt-ht-bp-widget.xml,subform,No,no,,,,
Start Date,Coded,Ethinyl estradoil / Levonorgestrel | Combined oral contraceptive pills | Levonorgestrel | Norethindrone | Condoms | Medroxyprogesterone acetate (Depo-provera) | Sayana press | Copper T IUD | Mirena hormone-eluting intrauterine device (IUD) | Jadelle (implantable contraceptive) | Etonogestrel | Implant | Natural family planning | Lactational amenorrhea | Tubal ligation | Vasectomy,checkbox,No,no,CIEL:374,CIEL:104625|CIEL:159783|CIEL:78796|CIEL:80784|CIEL:190|CIEL:907|PIH:21450|PIH:21478|CIEL:165464|CIEL:1873|CIEL:76022|CIEL:162422|CIEL:5277|CIEL:136163|CIEL:1472|CIEL:1489,Start Date,PIH:Family planning history construct
Family planning start date,Coded,N/A,radio,No,no,CIEL:163757,,,PIH:Family planning history construct
Family planning start date,Coded,N/A,radio,No,no,CIEL:163757,,,PIH:Family planning history construct
Family planning start date,Coded,N/A,radio,No,no,CIEL:163757,,,PIH:Family planning history construct
Family planning start date,Coded,N/A,radio,No,no,CIEL:163757,,,PIH:Family planning history construct
Family planning start date,Coded,N/A,radio,No,no,CIEL:163757,,,PIH:Family planning history construct
Family planning start date,Coded,N/A,radio,No,no,CIEL:163757,,,PIH:Family planning history construct
Family planning start date,Coded,N/A,radio,No,no,CIEL:163757,,,PIH:Family planning history construct
Family planning start date,Coded,N/A,radio,No,no,CIEL:163757,,,PIH:Family planning history construct
Family planning start date,Coded,N/A,radio,No,no,CIEL:163757,,,PIH:Family planning history construct
Family planning start date,Coded,N/A,radio,No,no,CIEL:163757,,,PIH:Family planning history construct
Family planning start date,Coded,N/A,radio,No,no,CIEL:163757,,,PIH:Family planning history construct
Family planning start date,Coded,N/A,radio,No,no,CIEL:163757,,,PIH:Family planning history construct
Family planning start date,Coded,N/A,radio,No,no,CIEL:163757,,,PIH:Family planning history construct
Family planning start date,Coded,N/A,radio,No,no,CIEL:163757,,,PIH:Family planning history construct
Family planning start date,Coded,N/A,radio,No,no,CIEL:163757,,,PIH:Family planning history construct
Family planning start date,Coded,N/A,radio,No,no,CIEL:163757,,,PIH:Family planning history construct
Family planning end date,Date,N/A,date,No,no,CIEL:163758,,,PIH:Family planning history construct
Family planning end date,Date,N/A,date,No,no,CIEL:163758,,,PIH:Family planning history construct
Family planning end date,Date,N/A,date,No,no,CIEL:163758,,,PIH:Family planning history construct
Family planning end date,Date,N/A,date,No,no,CIEL:163758,,,PIH:Family planning history construct
Family planning end date,Date,N/A,date,No,no,CIEL:163758,,,PIH:Family planning history construct
Family planning end date,Date,N/A,date,No,no,CIEL:163758,,,PIH:Family planning history construct
Family planning end date,Date,N/A,date,No,no,CIEL:163758,,,PIH:Family planning history construct
Family planning end date,Date,N/A,date,No,no,CIEL:163758,,,PIH:Family planning history construct
Family planning end date,Date,N/A,date,No,no,CIEL:163758,,,PIH:Family planning history construct
Family planning end date,Date,N/A,date,No,no,CIEL:163758,,,PIH:Family planning history construct
Family planning end date,Date,N/A,date,No,no,CIEL:163758,,,PIH:Family planning history construct
Family planning end date,Date,N/A,date,No,no,CIEL:163758,,,PIH:Family planning history construct
Family planning end date,Date,N/A,date,No,no,CIEL:163758,,,PIH:Family planning history construct
Family planning end date,Date,N/A,date,No,no,CIEL:163758,,,PIH:Family planning history construct
Family planning end date,Date,N/A,date,No,no,CIEL:163758,,,PIH:Family planning history construct
Family planning end date,Date,N/A,date,No,no,CIEL:163758,,,PIH:Family planning history construct
Grava,Coded,N/A,radio,No,no,CIEL:5624,,,
Para,Coded,N/A,radio,No,no,CIEL:1053,,,
Abortus,Coded,N/A,radio,No,no,CIEL:1823,,,
Living,Coded,N/A,radio,No,no,CIEL:1825,,,
Menstruation,Coded,Regular | Irregular,radio,No,no,CIEL:160600,CIEL:1065|CIEL:1066,,
Menstruation,Coded,Dysmenorrhea,checkbox,No,no,PIH:DIAGNOSIS,CIEL:127,Menstruation,PIH:Visit Diagnoses
