Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Subform: encounter-provider-location-date.xml,Other,Subform — configuration/pih/subforms/encounter-provider-location-date.xml,subform,No,no,,,,
Labour start date/time,Coded,N/A,radio,No,no,CIEL:163444,,,
Induced labor,Coded,Yes | No,radio,No,Yes → show #induced-details,CIEL:151750,CIEL:1065|CIEL:1066,,
Induction date/time,Coded,N/A,radio,No,no,CIEL:168755,,,
Method of induction,Coded,Mechanical induction | Oxytocin | Misoprostol,radio,No,no,CIEL:168751,CIEL:168752|CIEL:168753|CIEL:168754,,
Labour start date/time,Coded,Companion Present,checkbox,No,no,PIH:6547,PIH:14646,,
Duration of first stage,Coded,N/A,radio,No,no,PIH:20114,,,
Duration of first stage,Coded,N/A,radio,No,no,PIH:20115,,,
Second stage start date/time,Coded,N/A,radio,No,no,PIH:20113,,,
Second stage start date/time,Coded,twins or triplets,checkbox,No,no,PIH:DIAGNOSIS,CIEL:115491,Second stage start date/time,PIH:Visit Diagnoses
Duration of second stage,Coded,N/A,radio,No,no,PIH:20116,,,
Duration of second stage,Coded,N/A,radio,No,no,PIH:20117,,,
Blood loss before delivery,Coded,N/A,radio,No,no,PIH:20130,,,
Blood loss after delivery,Coded,N/A,radio,No,no,PIH:20131,,,
Visual examination of placenta completeness,Coded,Complete | Incomplete,radio,Yes,no,CIEL:163454,CIEL:163455|CIEL:163456,,
Placenta weight,Coded,N/A,radio,No,no,PIH:20122,,,
Placenta abnormality,Coded,Yes | No,radio,Yes,Yes → show #placentaAbDesc,CIEL:130109,CIEL:1065|CIEL:1066,,
Placenta abnormality,Coded,N/A,radio,No,no,PIH:20152,,,
Cord length,Coded,N/A,radio,No,no,PIH:20129,,,
Cord length,Coded,N/A,radio,No,no,CIEL:168722,,,
Breastfeeding initiated,Coded,Yes | No,radio,No,Yes → show #breastDate,CIEL:161543,CIEL:1065|CIEL:1066,,
Breastfeeding initiate date Time,Coded,N/A,radio,No,no,PIH:21116,,,
Skin To Skin initiated,Coded,,checkbox,No,no,CIEL:1651,CIEL:164173,,
Uterotonic Provided,Coded,Yes | No,radio,No,Yes → show #uteroDate,PIH:14373,CIEL:1065|CIEL:1066,,
Uterotonic Datetime,Coded,N/A,radio,No,no,PIH:21403,,,
pihcore.fullAMTSL,Coded,Yes | No,radio,No,no,CIEL:163452,CIEL:1065|CIEL:1066,,
Duration of third stage,Coded,N/A,radio,No,no,PIH:20124,,,
Duration of third stage,Coded,N/A,radio,No,no,PIH:20125,,,
Total duration of labor,Coded,N/A,radio,No,no,PIH:20457,,,
Total duration of labor,Coded,N/A,radio,No,no,PIH:20458,,,
HCW cadre,Coded,Doctor | SECHN Midwife | RN Midwife | ESO | Other,radio,No,Other → show #other-ba,PIH:20118,PIH:9719|PIH:20156|PIH:20157|PIH:20158|PIH:5622,,
"if other, specify type of HCW cadre",Text,N/A,text,No,no,PIH:20119,,,
Perineal tear,Coded,"Perineal laceration, first degree | Perineal laceration, second degree | Perineal laceration, third degree | Perineal laceration, fourth degree",radio,No,no,CIEL:165247,CIEL:165521|CIEL:165522|CIEL:165523|CIEL:165524,,
Procedure,Coded,Episiotomy | suture of perineum,checkbox,No,no,CIEL:1651,CIEL:5577|CIEL:164157,Procedure,
Number of sutures,Coded,N/A,radio,No,no,PIH:20121,,,
Number of sutures,Coded,N/A,radio,No,no,PIH:20126,,,
Subform: lab-results-section.xml,Other,Subform — configuration/pih/subforms/lab-results-section.xml,subform,No,no,,,,
Perineum comments,Coded,N/A,radio,No,no,PIH:20128,,,
Upload partogram,Coded,N/A,radio,No,no,PIH:13756,,,
