Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Subform: encounter-provider-location-date.xml,Other,Subform — configuration/pih/subforms/encounter-provider-location-date.xml,subform,No,no,,,,
Admission date/time,Date,N/A,date,No,no,CIEL:1640,,,
Grava,Coded,N/A,radio,No,no,CIEL:5624,,,
Para,Coded,N/A,radio,No,no,CIEL:1053,,,
Calculated Estimated Delivery Date,Date,N/A,date,No,no,CIEL:1427,,,
Gestational age (GA),Coded,N/A,radio,No,no,CIEL:165425,,,
Gestational age based on:,Coded,Ultrasound | Last menstrual date | Expected due date | Physical exam,radio,No,no,CIEL:160697,CIEL:159618|CIEL:1427|CIEL:5596|CIEL:1391,,
Subform: vital-signs-widget.xml,Other,Subform — configuration/pih/subforms/vital-signs-widget.xml,subform,No,no,,,,
Subform: lab-results-section.xml,Other,Subform — configuration/pih/subforms/lab-results-section.xml,subform,No,no,,,,
Pih task labor Progress,Coded,Postpartum haemorrhage | Prolonged labour | Rupture of uterus | Retained placenta | Multiple gestation | Abnormal foetal presentation | Signs of foetal distress | Other,checkbox,No,no,PIH:6644,CIEL:230|CIEL:113602|CIEL:127259|CIEL:127592|CIEL:115491|CIEL:150862|CIEL:118256|CIEL:5622,Pih task labor Progress,
Zl if Other Specify,Coded,N/A,radio,No,no,PIH:14679,,,
Labour start date/time,Date,N/A,date,No,no,CIEL:163444,,,
Membranes,Coded,Intact | Ruptured | Unknown,radio,No,Ruptured membranes → show #rupture-details,CIEL:164900,CIEL:164899|CIEL:127244|CIEL:1067,,
Rupture date/time,Coded,N/A,radio,No,no,CIEL:160710,,,
Membrane color,Coded,Clear | Green-brown color,radio,No,no,CIEL:168750,CIEL:159484|CIEL:168749,,
Meconium classification,Coded,Meconium Class 1 | Meconium Class 2 | Meconium Class 3,radio,No,no,CIEL:168726,CIEL:168727|CIEL:168728|CIEL:168729,,
Fundal Height,Coded,N/A,radio,No,no,CIEL:1439,,,
Uterine Contractions,Coded,Absent plural | Present plural,radio,No,no,CIEL:163750,CIEL:163747|CIEL:163748,,
Uterine Contractions,Coded,N/A,radio,No,no,CIEL:160968,,,
Fetal Heart Rate,Coded,Pinard | Doppler | Moyo | Janitri | CTG | Other,radio,No,no,CIEL:168715,CIEL:168716|CIEL:168717|CIEL:168718|CIEL:168719|CIEL:168720|CIEL:5622,,
Induced labor,Coded,Yes | No,radio,No,Yes → show #induced-details,CIEL:151750,CIEL:1065|CIEL:1066,,
Induction date/time,Date,N/A,date,No,no,CIEL:168755,,,
Method of induction,Coded,Mechanical induction | Oxytocin | Misoprostol,radio,No,no,CIEL:168751,CIEL:168752|CIEL:168753|CIEL:168754,,
Uterus Palpation,Coded,Tender Uterus | Non Sensitive Uterus,radio,No,no,CIEL:167035,CIEL:167036|CIEL:167037,,
Previous abdominal scar,Coded,Yes | No,radio,No,Yes → show #ab-scar-details,CIEL:166893,CIEL:1065|CIEL:1066,,
# of previous c-sections,Coded,N/A,radio,No,no,CIEL:160081,,,
Description of scar,Coded,N/A,radio,No,no,CIEL:168244,,,
Overall condition,Coded,Satisfactory | Deteriorated | Unsatisfactory,radio,No,no,CIEL:160116,CIEL:160113|CIEL:160115|CIEL:159407,,
Disposition,Other,Disposition widget,disposition widget,Yes,no,,,,
Pih app notes summary,Text,N/A,textarea,No,no,CIEL:161011,,,
Upload partogram,Coded,N/A,radio,No,no,PIH:13756,,,
