Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Subform: encounter-provider-location-date.xml,Other,Subform — configuration/pih/subforms/encounter-provider-location-date.xml,subform,No,no,,,,
Mentalhealth referred By,Coded,Other,checkbox,No,no,PIH:Role of referring person,PIH:OTHER,,
Mentalhealth internal Referred By,Coded,Other,checkbox,No,no,PIH:Type of referral role,PIH:OTHER,,
Hiv Test,Coded,Yes | No,radio,No,no,PIH:1040,PIH:YES|PIH:NO,,
Hiv Test,Coded,N/A,radio,No,no,PIH:2516,,,
TB smear result,Coded,Positive | Negative,radio,No,no,PIH:3052,CIEL:703|CIEL:664,,
Extra Pulmonary TB,Coded,Yes | No,radio,No,no,PIH:1547,PIH:YES|PIH:NO,,
Alcohol,Coded,Current | Past | Never,radio,No,no,CIEL:159449,CIEL:159450|CIEL:159452|CIEL:1090,,
Habits if Yes Duration,Coded,N/A,radio,No,no,PIH:2241,,,
Jamba (Marijuana):,Coded,Current | Past | Never,radio,No,no,PIH:12391,CIEL:159450|CIEL:159452|CIEL:1090,,
Habits if Yes Duration,Coded,N/A,radio,No,no,PIH:13239,,,
Kush,Coded,Current | Past | Never,radio,No,no,PIH:20106,CIEL:159450|CIEL:159452|CIEL:1090,,
Habits if Yes Duration,Coded,N/A,radio,No,no,PIH:20109,,,
Tramadol,Coded,Current | Past | Never,radio,No,no,PIH:20107,CIEL:159450|CIEL:159452|CIEL:1090,,
Habits if Yes Duration,Coded,N/A,radio,No,no,PIH:20110,,,
Other drugs,Coded,Current | Past | Never,radio,No,no,CIEL:162556,CIEL:159450|CIEL:159452|CIEL:1090,,
Habits drug Name,Coded,N/A,radio,No,no,PIH:6489,,,
Habits if Yes Duration,Coded,N/A,radio,No,no,PIH:12997,,,
Traditional medicine,Coded,Current | Past | Never,radio,No,no,PIH:13242,CIEL:159450|CIEL:159452|CIEL:1090,,
Socio Economic homeless,Coded,Current | Past | Never,radio,No,no,PIH:14697,CIEL:159450|CIEL:159452|CIEL:1090,,
I18n Program name 69e6a46d-674e-4281-99a0-4004f293ee57,Coded,Yes | No | Unknown,radio,Yes,no,CIEL:152450,PIH:YES|PIH:NO|PIH:UNKNOWN,,
Mental Illness,Coded,Yes | No | Unknown,radio,Yes,no,CIEL:140526,PIH:YES|PIH:NO|PIH:UNKNOWN,,
Behavioral Problems,Coded,Yes | No | Unknown,radio,Yes,no,CIEL:152465,PIH:YES|PIH:NO|PIH:UNKNOWN,,
Presenting Features,Coded,Other,checkbox,No,no,PIH:11505,PIH:OTHER,,
Pih task mental Health Intake label,Text,N/A,textarea,No,no,PIH:CLINICAL IMPRESSION COMMENTS,,,
