Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Subform: encounter-provider-location-date.xml,Other,Subform — configuration/pih/subforms/encounter-provider-location-date.xml,subform,No,no,,,,
Presenting history,Text,N/A,textarea,No,no,CIEL:1390,,,
Condition at admission,Coded,Good | Fair | Poor | very poor,radio,No,no,CIEL:160116,PIH:GOOD|CIEL:159406|CIEL:159407|CIEL:167806,,
Clinical adverse effect (in past 24 hours),Coded,Yes | No,radio,No,no,CIEL:162871,CIEL:1065|CIEL:1066,,
Name of family member,Coded,N/A,radio,No,no,CIEL:160750,,,PIH:13182
Age (years),Coded,N/A,radio,No,no,PIH:3467,,,PIH:13182
Telephone number of contact,Coded,N/A,radio,No,no,PIH:6194,,,PIH:13182
Mother alive,Coded,Yes | No | Unknown,radio,No,no,PIH:20363,CIEL:1065|CIEL:1066|CIEL:1067,,PIH:13182
Quantitative outcome of delivery,Coded,Singleton | Twins | Triplets | Other | Unknown,radio,No,no,CIEL:159949,CIEL:159913|CIEL:159914|CIEL:159915|CIEL:5622|CIEL:1067,,PIH:13182
Type of delivery,Coded,Spontaneous vaginal delivery | Delivery by cesarean section,radio,No,no,PIH:11663,CIEL:1170|CIEL:155884,,
Delivery location,Coded,Home | In-transit | private clinic | PHU | Other,radio,No,Other → show #delivery-location-other,PIH:20260,PIH:7889|CIEL:1601|CIEL:160479|PIH:12368|CIEL:5622,,
"if other, specify delivery location:",Coded,N/A,radio,No,no,PIH:1389,,,
Method of transport,Coded,Ambulance | Motorbike | Walking | Car | Other,radio,No,Other → show #other-transport,PIH:975,PIH:15074|PIH:MOTORBIKE|PIH:WALKING|PIH:CAR|PIH:OTHER,,
"If other, specify transport method:",Text,N/A,text,No,no,PIH:1301,,,
Maternal history,Text,N/A,textarea,No,no,PIH:13094,,,
Maternal complication (coded),Coded,Pre-eclampsia | Chronic hypertension | Diabetes mellitus (including gestational DM) | Antepartum haemorrhage | Oligohydramnios | Polyhydramnios | Sickle cell anaemia | Isoimmunization (Rhesus negative) | Thyroid disease. | Renal disease | Urinary tract infection,checkbox,No,no,PIH:20542,CIEL:129251|CIEL:168592|CIEL:119481|CIEL:228|CIEL:132425|CIEL:129559|CIEL:117703|CIEL:127459|CIEL:124718|CIEL:145438|CIEL:111633,Maternal complication (coded),
Maternal complication (coded),Coded,Prolonged rupture of membrane | Peripartum pyrexia (fever) | Malaria | HIV | Tuberculosis | Viral hepatitis | Toxoplasmosis | Rubella | Cytomegalovirus | Herpes,checkbox,No,no,PIH:20542,CIEL:113596|CIEL:128168|CIEL:116128|CIEL:138405|CIEL:112141|CIEL:111479|CIEL:5355|CIEL:113205|CIEL:142963|CIEL:138688,Maternal complication (coded),
Subform: vital-signs-infant-widget.xml,Other,Subform — configuration/pih/subforms/vital-signs-infant-widget.xml,subform,No,no,,,,
Weight,Coded,N/A,radio,No,no,CIEL:5089,,,
Length,Coded,N/A,radio,No,no,CIEL:5090,,,
Head circumference,Coded,N/A,radio,No,no,CIEL:5314,,,
Vitals muac navigation title,Coded,N/A,radio,No,no,CIEL:1343,,,
Hemoglobin,Coded,N/A,radio,No,no,CIEL:21,,,
Blood glucose (RBG),Coded,N/A,radio,No,no,CIEL:887,,,
MRDT,Coded,Positive | Negative | Not tested,radio,No,no,CIEL:1643,CIEL:703|CIEL:664|CIEL:1138,,
Tc B,Coded,N/A,radio,No,no,PIH:21391,,,
Umbilical cord stump,Coded,Neonatal umbilical stump clean | Neonatal umbilical stump dry | Neonatal umbilical stump moist | Sticky,checkbox,No,no,CIEL:162121,CIEL:162122|CIEL:162120|CIEL:162124|PIH:1670,Umbilical cord stump,
Comments about umbilical cord,Text,N/A,text,No,no,CIEL:168722,,,
Eyes,Coded,Clear | Red eyes | Yellow color | Neonatal conjunctivitis of both eyes | Neonatal conjunctivitis of right eye | Neonatal conjunctivitis of left eye,checkbox,No,no,CIEL:163309,PIH:3236|CIEL:127777|CIEL:160910|CIEL:168745|CIEL:168747|CIEL:168746,Eyes,
Comments about eyes,Text,N/A,text,No,no,CIEL:168722,,,
Skin color,Coded,Normal | Cyanosis | Neonatal jaundice,checkbox,No,no,CIEL:1120,CIEL:1115|CIEL:143050|CIEL:115368,Skin color,
Comments about skin,Text,N/A,text,No,no,CIEL:160981,,,
Urination,Coded,Normal (passed urine) | Anuria (No urination),radio,No,no,CIEL:166358,CIEL:1115|CIEL:148566,,
Comments about urination,Text,N/A,text,No,no,CIEL:166363,,,
Stool,Coded,Meconium colored feces | Green-brown color | Yellow color | None,radio,No,no,CIEL:163640,CIEL:168748|CIEL:168749|CIEL:160910|CIEL:1107,,
Comments about stool,Text,N/A,text,No,no,CIEL:160965,,,
Neuro exam,Coded,Normal | Abnormal,radio,No,no,CIEL:1129,CIEL:1115|CIEL:1116,,
Seizures,Coded,Yes | No,radio,No,no,PIH:206,CIEL:1065|CIEL:1066,,
Comments about neurological exam,Text,N/A,text,No,no,PIH:11570,,,
Cardiac exam,Coded,Normal | Cardiac murmur,radio,No,no,CIEL:1124,CIEL:1115|CIEL:562,,
Comments about cardiac exam,Text,N/A,text,No,no,CIEL:163046,,,
Diagnoses (encounterDiagnosesByObs),Other,Pick diagnoses,diagnoses widget,No,no,,,,
Pih app notes summary,Text,N/A,textarea,No,no,CIEL:161011,,,
Feeding method,Coded,Breastfed | Formula,radio,No,no,CIEL:1151,CIEL:5632|CIEL:5254,,
Feeding method,Coded,Tube | Cup | Spoon,radio,No,no,CIEL:168734,CIEL:168743|CIEL:168735|CIEL:168742,,
Air supply,Coded,Room air | Supplemental oxygen therapy | CPAP,radio,No,CPAP → show #cpap; Supplemental oxygen therapy → show #oxy2,CIEL:162739,CIEL:162735|CIEL:162738|CIEL:165944,,
O2,Coded,N/A,radio,No,no,CIEL:165986,,,
CPAP machine pressure,Coded,N/A,radio,No,no,PIH:20357,,,
Treatment plan,Text,N/A,textarea,No,no,CIEL:163104,,,
Subform: drug-order-widget-newborn.xml,Other,Subform — configuration/pih/subforms/drug-order-widget-newborn.xml,subform,No,no,,,,
Remarks,Coded,N/A,radio,No,no,PIH:10637,,,
