Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Subform: encounter-provider-location-date.xml,Other,Subform — configuration/pih/subforms/encounter-provider-location-date.xml,subform,No,no,,,,
Subform: vital-signs-infant-widget.xml,Other,Subform — configuration/pih/subforms/vital-signs-infant-widget.xml,subform,No,no,,,,
AVPU,Coded,N/A,radio,No,no,CIEL:162643,,,
Hemoglobin,Coded,N/A,radio,No,no,CIEL:21,,,
Hematocrit,Coded,N/A,radio,No,no,CIEL:1015,,,
MRDT,Coded,Positive | Negative | Not tested,radio,No,no,CIEL:1643,CIEL:703|CIEL:664|CIEL:1138,,
Reason for presentation,Coded,Jaundice | Skin rash | Runny nose | Cough | Difficulty breathing | Fever | Diarrhoea | Injury/trauma | Restless/persistent crying | Vomiting | Weakness | Abdominal distension | Feeding problem | Maternal illness | Failure to thrive/weight loss | Not passing meconium | Not passing urine | HIV exposure | TB exposure | Abscess (boil) | Head swelling | Scrotal swelling | Infant of a diabetic mother,checkbox,No,no,CIEL:167788,CIEL:136443|CIEL:512|CIEL:165501|CIEL:143264|CIEL:142373|CIEL:140238|CIEL:142412|CIEL:124193|CIEL:143582|CIEL:122983|CIEL:5226|PIH:6019|CIEL:140476|PIH:20263|CIEL:5050|PIH:20264|CIEL:148566|CIEL:822|CIEL:124068|CIEL:150632|CIEL:146475|CIEL:125203|CIEL:112502,Reason for presentation,
Reason for presentation,Coded,Congenital malformation,checkbox,No,Congenital malformation → show #malformation-details,CIEL:167788,CIEL:143849,,
"if congenital malformation(s), specify:",Text,N/A,text,No,no,PIH:15086,,,
Delivery location,Coded,Home | In-transit | health clinic | KGH/MCOE | Other,radio,Yes,Other → show #delivery-location-other,PIH:20260,PIH:7889|CIEL:1601|CIEL:1588|PIH:12367|CIEL:5622,,
"if other, specify delivery location:",Coded,N/A,radio,No,no,PIH:1389,,,
Emergency signs,Coded,Hypoglycemia | Bleeding | Severe respiratory distress | Cyanosis | CRT > 3 seconds | Very slow skin pinch | Weak pulse | Convulsions | Coma | Lethargy | Failure to cry at birth,checkbox,No,no,CIEL:1728,PIH:3729|CIEL:147241|PIH:7910|CIEL:143050|CIEL:162512|CIEL:168121|CIEL:124823|CIEL:143388|CIEL:144576|CIEL:116334|PIH:20323,Emergency signs,
Priority signs,Coded,Low birth weight | Respiratory distress | Premature birth | Fever | Birth trauma | Severe pallor | Excessive crying | Restlessness and agitation | Failure to thrive | Oedema | Oedema of hands or face | Lower extremity oedema | Burn,checkbox,No,no,PIH:12879,CIEL:116222|CIEL:127639|CIEL:113841|CIEL:140238|CIEL:147277|PIH:14517|CIEL:143582|CIEL:152330|CIEL:5050|CIEL:460|CIEL:165193|CIEL:118729|CIEL:116543,Priority signs,
Priority signs,Coded,Toxicity,checkbox,No,Toxicity → show #tox,PIH:12879,PIH:83,,
"if toxicity, specify:",Coded,N/A,radio,No,no,PIH:20328,,,
Neo Resusc,Coded,Yes | No,radio,No,Yes → show #type-resuscitation,CIEL:162131,CIEL:1065|CIEL:1066,,
Method of resuscitation,Coded,Supplemental oxygen therapy | Bag valve mask ventilation | Endotracheal intubation | Cardiopulmonary resuscitation (CPR),checkbox,No,no,CIEL:165995,CIEL:162738|CIEL:167383|CIEL:165935|CIEL:167415,Method of resuscitation,
Birth Injury,Coded,Yes | No,radio,No,Yes → show #birthInjury-details,CIEL:147277,CIEL:1065|CIEL:1066,,
Birth injury details,Text,N/A,textarea,No,no,CIEL:160686,,,
Disposition,Other,Disposition widget,disposition widget,Yes,no,,,,
Pih app notes summary,Text,N/A,textarea,No,no,CIEL:161011,,,
