Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Encounter date/time,Date,N/A,date/time,Yes,no,encounterDate,,,
Location,Location,List of available locations,location select,Yes,no,encounterLocation (SessionAttribute:emrContext.sessionLocationId),,"""PACU Location""",
Overseeing anesthesiologist,Provider,List of available providers,provider select,No,no,encounterProviderAndRole (anesthesia role),,,
Overseeing surgeon,Provider,List of available providers,provider select,No,no,encounterProviderAndRole (surgery role),,,
Admission date/time,Date,N/A,date/time,No,no,PIH:12240,,,
Diagnoses (encounterDiagnosesByObs),Other,Select via Encounter Diagnoses widget,diagnoses widget,No,no,,,,
Procedures (multiple),Other,Procedure autocomplete entries,autocomplete (Procedure),No,no,PIH:Surgical procedure,,,
Type of anesthesia,Coded,Options defined in concept,radio,No,no,PIH:Type of anesthesia,,,
Vitals (basic),Other,See vital-signs-basic-widget,subform,No,no,subform:configuration/pih/subforms/vital-signs-basic-widget.xml,,,
Aldrete - Oxygenation,Coded,Option 2 | Option 1 | Option 0,radio,No,no,CIEL:170339,CIEL:170336|CIEL:170337|CIEL:170338,Aldrete,
Aldrete - Respiration,Coded,Option 2 | Option 1 | Option 0,radio,No,no,CIEL:170343,CIEL:170340|CIEL:170341|CIEL:170342,Aldrete,
Aldrete - Circulation,Coded,Option 2 | Option 1 | Option 0,radio,No,no,CIEL:170347,CIEL:170344|CIEL:170345|CIEL:170346,Aldrete,
Aldrete - Level of consciousness,Coded,Option 2 | Option 1 | Option 0,radio,No,no,CIEL:162643,CIEL:160282|CIEL:162645|CIEL:159508,Aldrete,
Aldrete - Activity,Coded,Option 2 | Option 1 | Option 0,radio,No,no,CIEL:170351,CIEL:170348|CIEL:170349|CIEL:170350,Aldrete,
Aldrete total score,Numeric,Calculated sum,calculated/display,No,Calculated from Aldrete items,derived,,,
Pain score (PACU events),Coded,None | Mild | Moderate | Severe,radio,No,no,CIEL:169568,CIEL:1107|CIEL:1498|CIEL:1499|CIEL:1500,Events,
Nausea (PACU events),Coded,None | Mild | Moderate | Severe,radio,No,no,CIEL:170353,CIEL:1107|CIEL:1498|CIEL:1499|CIEL:1500,Events,
Vomiting,Coded,Yes | No,radio,No,no,CIEL:122983,CIEL:1065|CIEL:1066,Events,
Shivering,Coded,Yes | No,radio,No,no,PIH:21078,CIEL:1065|CIEL:1066,Events,
Ambulation started,Coded,Yes | No,radio,No,no,CIEL:170354,CIEL:1065|CIEL:1066,Events,
Feeding started,Coded,Yes | No,radio,No,no,CIEL:170355,CIEL:1065|CIEL:1066,Events,
Urinary catheter removed,Coded,Yes | No,radio,No,no,CIEL:170483,CIEL:1065|CIEL:1066,Events,
Glasgow Coma Scale (GCS),Numeric,3-15,number,No,no,CIEL:160347,,,
Blood transfusion (volume),Numeric,N/A,number,No,no,CIEL:166650,units=mL,Transfusion construct,PIH:Transfusion construct
Transfusion urgency,Coded,routine | urgent | emergency release,radio,No,no,CIEL:161238,CIEL:161236|CIEL:1882|PIH:21137,Transfusion construct,PIH:Transfusion construct
Urine output (mL),Numeric,N/A,number,No,no,PIH:21114,units=mL,,
Disposition,Other,Disposition widget,disposition widget,Yes,no,,,,
Summary / notes,Text,N/A,textarea,No,no,CIEL:161011,,,
