Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Danger Signs,Coded,Oedema of hands or face | Chest pain | Abnormal vaginal bleeding | Fever | Severe headache | Seizure | Vision problem | Vomiting | Diarrhoea | Dysuria | Dyspnoea | Abdominal pain | Premature uterine contractions | Amniotic fluid leaking | Decreased foetal movements,checkbox,No,no,PIH:DIAGNOSIS,CIEL:165193|PIH:136|CIEL:150802|CIEL:140238|CIEL:139081|CIEL:113054|CIEL:118938|CIEL:122983|CIEL:142412|CIEL:118771|CIEL:122496|CIEL:151|CIEL:153316|CIEL:148968|CIEL:113377,Danger Signs,PIH:Visit Diagnoses
Risk Factors,Coded,History of spontaneous abortion | History of retained placenta | Eclampsia | Preeclampsia | Antepartum haemorrhage | Postpartum haemorrhage | Previous c-section | HIV | Heart disease | Diabetes | Hypertension | Multiple gestation | Placental abruption | Placenta praevia | Foetal death | Malpresentation of foetus | Victim of GBV | Syphilis,checkbox,No,no,CIEL:160079,CIEL:156650|CIEL:166426|PIH:Eclampsia|PIH:47|PIH:ANTEPARTUM HEMORRHAGE|CIEL:230|CIEL:163155|CIEL:138405|PIH:HEART DISEASE|PIH:DIABETES|PIH:HYPERTENSION|CIEL:115491|CIEL:130108|CIEL:114127|CIEL:140399|CIEL:115939|CIEL:165088|CIEL:112493,Risk Factors,
Risk Factors,Coded,Other,checkbox,No,no,CIEL:160079,PIH:OTHER,,
Due Date,Date,N/A,date,No,no,CIEL:5596,,,
Height,Coded,N/A,radio,No,no,CIEL:5090,,,
Weight,Coded,N/A,radio,No,no,CIEL:5089,,,
Vitals blood Pressure short title,Coded,N/A,radio,No,no,CIEL:5085,,,
Vitals blood Pressure short title,Coded,N/A,radio,No,no,CIEL:5086,,,
Vitals blood Pressure short title,Coded,N/A,radio,No,no,CIEL:5085,,,
Vitals blood Pressure short title,Coded,N/A,radio,No,no,CIEL:5086,,,
Fundal Height,Coded,N/A,radio,Yes,no,CIEL:1439,,,
Fetal Heart Rate,Coded,N/A,radio,Yes,no,CIEL:1440,,,
Urine glucose,Coded,3+ | 2+ | 1+ | Trace | Negative,radio,No,no,CIEL:159734,CIEL:1365|CIEL:1364|CIEL:1363|CIEL:1362|CIEL:664,,
Urine protein,Coded,3+ | 2+ | 1+ | Trace | Trace (alt) | Negative,radio,No,no,CIEL:1875,CIEL:1365|CIEL:1364|CIEL:1363|CIEL:1362|CIEL:159416|CIEL:664,,
FeFol (Ferrous sulfate + Folic acid),Coded,Yes | No,radio,No,no,CIEL:164166,CIEL:1065|CIEL:1066,,
IPTp-SP (for malaria),Coded,Yes | No,radio,No,no,CIEL:1591,CIEL:1065|CIEL:1066,,
Nutrition counselling,Coded,Yes | No,radio,No,no,CIEL:1380,CIEL:1065|CIEL:1066,,
Other complaints,Text,N/A,textarea,No,no,PIH:6760,,,
ITN (insecticide-treated bed net),Coded,Yes | No,radio,No,no,CIEL:159855,CIEL:1065|CIEL:1066,,
Diagnoses (encounterDiagnosesByObs),Other,Pick diagnoses,diagnoses widget,No,no,,,,
Free Text Comments,Text,N/A,textarea,No,no,PIH:CLINICAL IMPRESSION COMMENTS,,,
Return Visit Date,Date,N/A,date,No,no,PIH:RETURN VISIT DATE,,,
