Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
General exam title,Coded,Normal,checkbox,No,no,PIH:GENERAL EXAM FINDINGS,PIH:NORMAL,,
General exam title,Coded,Weight loss,radio,No,no,CIEL:1728,CIEL:832,General exam title,CIEL:1727
Duration,Coded,N/A,radio,No,no,CIEL:1731,,General exam title,CIEL:1727
Units,Coded,Days | Weeks | Months | Years,radio,No,no,CIEL:1732,CIEL:1072|CIEL:1073|CIEL:1074|CIEL:1734,General exam title,CIEL:1727
General exam title,Coded,Obesity,checkbox,No,no,PIH:GENERAL EXAM FINDINGS,CIEL:115115,,
General exam title,Coded,Jaundice,checkbox,No,no,PIH:GENERAL EXAM FINDINGS,PIH:JAUNDICE,,
General exam title,Coded,Other,checkbox,No,no,PIH:GENERAL EXAM FINDINGS,PIH:OTHER NON-CODED,,
Comment,Coded,N/A,radio,No,no,CIEL:163042,,,
Mental exam title,Coded,Normal,checkbox,No,no,CIEL:163043,PIH:NORMAL,,
Mental exam title,Coded,Depression,checkbox,No,no,CIEL:163043,PIH:DEPRESSION,,
Mental exam title,Coded,Other,checkbox,No,no,CIEL:163043,PIH:OTHER NON-CODED,,
Comment,Coded,N/A,radio,No,no,CIEL:163044,,,
Skin exam title,Coded,Normal,checkbox,No,no,PIH:SKIN EXAM FINDINGS,PIH:NORMAL,,
Skin exam title,Coded,Rash,checkbox,No,no,PIH:SKIN EXAM FINDINGS,PIH:RASH,,
Skin exam title,Coded,Pallor,checkbox,No,no,PIH:SKIN EXAM FINDINGS,PIH:PALLOR,,
Skin exam title,Coded,Other,checkbox,No,no,PIH:SKIN EXAM FINDINGS,PIH:OTHER NON-CODED,,
Comment,Coded,N/A,radio,No,no,PIH:SKIN EXAM COMMENT,,,
Heent exam title,Coded,Normal,checkbox,No,no,PIH:HEENT EXAM FINDINGS,PIH:NORMAL,,
Heent exam title,Coded,Pale conjunctiva,checkbox,No,no,PIH:HEENT EXAM FINDINGS,PIH:PALE CONJUNCTIVA,,
Heent exam title,Coded,Dysphagia,checkbox,No,no,PIH:HEENT EXAM FINDINGS,PIH:DYSPHAGIA,,
Heent exam title,Coded,Goiter,checkbox,No,no,PIH:HEENT EXAM FINDINGS,PIH:GOITER,,
Heent exam title,Coded,Otorrhea,checkbox,No,no,PIH:HEENT EXAM FINDINGS,PIH:OTORRHEA,,
Heent exam title,Coded,Rhinorrhea,checkbox,No,no,PIH:HEENT EXAM FINDINGS,CIEL:165501,,
Heent exam title,Coded,Nasal discharge,checkbox,No,no,PIH:HEENT EXAM FINDINGS,PIH:NASAL DISCHARGE,,
Heent exam title,Coded,Other,checkbox,No,no,PIH:HEENT EXAM FINDINGS,PIH:OTHER NON-CODED,,
Comment,Coded,N/A,radio,No,no,CIEL:163045,,,
Lymph exam title,Coded,Normal,checkbox,No,no,CIEL:1121,PIH:NORMAL,,
Lymph exam title,Coded,Axillary lymphadenopathy,checkbox,No,no,CIEL:1121,CIEL:148058,,
Lymph exam title,Coded,Cervical lymphadenopathy,checkbox,No,no,CIEL:1121,CIEL:145802,,
Lymph exam title,Coded,Inguinal lymphadenopathy,checkbox,No,no,CIEL:1121,CIEL:137155,,
Lymph exam title,Coded,Other,checkbox,No,no,CIEL:1121,PIH:OTHER NON-CODED,,
Comment,Coded,N/A,radio,No,no,PIH:11572,,,
Cardiac exam title,Coded,Normal,checkbox,No,no,PIH:CARDIAC EXAM FINDINGS,PIH:NORMAL,,
Cardiac exam title,Coded,Cardiac murmur,checkbox,No,no,PIH:CARDIAC EXAM FINDINGS,PIH:CARDIAC MURMUR,,
Cardiac exam title,Coded,Tachycardia,checkbox,No,no,PIH:CARDIAC EXAM FINDINGS,PIH:TACHYCARDIA,,
Cardiac exam title,Coded,Other,checkbox,No,no,PIH:CARDIAC EXAM FINDINGS,PIH:OTHER NON-CODED,,
Comment,Coded,N/A,radio,No,no,CIEL:163046,,,
Chest exam title,Coded,Normal,checkbox,No,no,PIH:CHEST EXAM FINDINGS,PIH:NORMAL,,
Chest exam title,Coded,Crepitations,checkbox,No,no,PIH:CHEST EXAM FINDINGS,PIH:CREPITATIONS,,
Chest exam title,Coded,Wheeze,checkbox,No,no,PIH:CHEST EXAM FINDINGS,PIH:WHEEZE,,
Chest exam title,Coded,Tachypneic,checkbox,No,no,PIH:GENERAL EXAM FINDINGS,PIH:TACHYPNEIC,,
Chest exam title,Coded,Other,checkbox,No,no,PIH:CHEST EXAM FINDINGS,PIH:OTHER NON-CODED,,
Comment,Coded,N/A,radio,No,no,CIEL:160689,,,
Abdominal exam title,Coded,Normal,checkbox,No,no,PIH:ABDOMINAL EXAM FINDINGS,PIH:NORMAL,,
Abdominal exam title,Coded,Splenomegaly,checkbox,No,no,PIH:ABDOMINAL EXAM FINDINGS,PIH:SPLENOMEGALY,,
Abdominal exam title,Coded,Hepatomegaly,checkbox,No,no,PIH:ABDOMINAL EXAM FINDINGS,PIH:HEPATOMEGALY,,
Abdominal exam title,Coded,Ascites,checkbox,No,no,PIH:ABDOMINAL EXAM FINDINGS,PIH:ASCITES,,
Abdominal exam title,Coded,Abdominal mass,checkbox,No,no,PIH:ABDOMINAL EXAM FINDINGS,"PIH:MASS, ABDOMINAL",,
Abdominal exam title,Coded,Abdominal pain,checkbox,No,no,PIH:ABDOMINAL EXAM FINDINGS,PIH:ABDOMINAL PAIN,,
Abdominal exam title,Coded,Other,checkbox,No,no,PIH:ABDOMINAL EXAM FINDINGS,PIH:OTHER NON-CODED,,
Comment,Coded,N/A,radio,No,no,CIEL:160947,,,
Urogenital exam title,Coded,Normal,checkbox,No,no,PIH:UROGENITAL EXAM FINDINGS,PIH:NORMAL,,
Urogenital exam title,Coded,Candidiasis,checkbox,No,no,PIH:UROGENITAL EXAM FINDINGS,PIH:CANDIDIASIS,,
Urogenital exam title,Coded,Genital discharge,checkbox,No,no,PIH:UROGENITAL EXAM FINDINGS,PIH:GENITAL DISCHARGE,,
Urogenital exam title,Coded,Genital ulcers,checkbox,No,no,PIH:UROGENITAL EXAM FINDINGS,PIH:GENITAL SORES,,
Urogenital exam title,Coded,Chronic pelvic pain in female,checkbox,No,no,PIH:UROGENITAL EXAM FINDINGS,CIEL:155579,,
Urogenital exam title,Coded,Other,checkbox,No,no,PIH:UROGENITAL EXAM FINDINGS,PIH:OTHER NON-CODED,,
Comment,Coded,N/A,radio,No,no,CIEL:163047,,,
Neuro exam title,Coded,Normal,checkbox,No,no,PIH:NEUROLOGIC EXAM FINDINGS,PIH:NORMAL,,
Neuro exam title,Coded,Seizure,checkbox,No,no,PIH:NEUROLOGIC EXAM FINDINGS,PIH:SEIZURE,,
Neuro exam title,Coded,Hemiplegia,checkbox,No,no,PIH:NEUROLOGIC EXAM FINDINGS,CIEL:117655,,
Neuro exam title,Coded,Other,checkbox,No,no,PIH:NEUROLOGIC EXAM FINDINGS,PIH:OTHER NON-CODED,,
Comment,Coded,N/A,radio,No,no,PIH:11570,,,
Musculoskeletal exam title,Coded,Normal,checkbox,No,no,PIH:MUSCULOSKELETAL EXAM FINDINGS,PIH:NORMAL,,
Musculoskeletal exam title,Coded,Muscle tenderness,checkbox,No,no,PIH:MUSCULOSKELETAL EXAM FINDINGS,PIH:MUSCLE TENDERNESS,,
Musculoskeletal exam title,Coded,Effusion of joint,checkbox,No,no,PIH:MUSCULOSKELETAL EXAM FINDINGS,CIEL:118697,,
Musculoskeletal exam title,Coded,Oedema,checkbox,No,no,PIH:MUSCULOSKELETAL EXAM FINDINGS,CIEL:460,,
