Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Main diagnosis,Coded,Cardiomyopathy | Hypertensive cardiomyopathy | Hypertensive heart disease | Rheumatic heart disease | Degenerative heart disease | Right heart failure | Pericardial disease | Arrhythmia | Thromboembolic disorder | Congenital heart disease | Other heart valve disease or congenital heart disease | Unknown heart failure without echocardiogram,checkbox,No,no,PIH:DIAGNOSIS,CIEL:5016|CIEL:168116|CIEL:117386|CIEL:113227|PIH:14836|CIEL:127376|CIEL:119092|CIEL:120148|CIEL:124800|CIEL:119956|PIH:12231|PIH:20004,Main diagnosis,PIH:Visit Diagnoses
Cardiomyopathy,Coded,Ischemic cardiomyopathy | Alcohol-related cardiomyopathy | Peripartum cardiomyopathy | Arrhythmia-induced cardiomyopathy | HIV associated with cardiomyopathy | Chemotherapy-induced cardiomyopathy | Viral cardiomyopathy | Restrictive cardiomyopathy | Cardiomyopathy due to unknown factors,checkbox,No,no,PIH:DIAGNOSIS,CIEL:139529|CIEL:142317|CIEL:113918|CIEL:113096|CIEL:163712|CIEL:168128|CIEL:168182|CIEL:169981|PIH:14753,Cardiomyopathy,PIH:Visit Diagnoses
"if other cardiomyopathy, specify:",Text,N/A,text,No,no,PIH:14754,,,
Rheumatic heart disease,Coded,Pure mitral stenosis | Pure mitral regurgitation | Mixed mitral valve disease (MS+MR) | Isolated aortic valve disease (AVD) | Mixed mitral and aortic valve disease (MMAVD) | Unspecified rheumatic heart disease | Other rheumatic heart disease,radio,No,no,PIH:DIAGNOSIS,CIEL:127437|CIEL:127438|CIEL:127436|PIH:20166|PIH:14750|PIH:20167|PIH:20168,Rheumatic heart disease,PIH:Visit Diagnoses
"if other rheumatic heart disease, specify:",Text,N/A,text,No,no,PIH:14754,,,
Degenerative valve disease,Coded,Mitral valve stenosis | Mitral valve regurgitation | Aortic valve stenosis | Aortic valve regurgitation | Mitral and aortic valve disease,radio,No,no,PIH:DIAGNOSIS,CIEL:134082|CIEL:115735|CIEL:121532|CIEL:148546|CIEL:134088,Degenerative valve disease,PIH:Visit Diagnoses
Right heart failure,Coded,Cor pulmonale | Schistosomiasis,radio,No,no,PIH:DIAGNOSIS,PIH:COR PULMONALE|CIEL:117152,Right heart failure,PIH:Visit Diagnoses
Right heart failure,Coded,Unknown,checkbox,No,no,PIH:14752,PIH:14755,,
Pericardial diseases,Coded,Tuberculosis of pericardium | HIV pericardial diseases | Malignant pericardial effusion,radio,No,no,PIH:DIAGNOSIS,CIEL:124033|CIEL:168127|CIEL:159343,Pericardial diseases,PIH:Visit Diagnoses
Arrythmia,Coded,Atrial fibrillation | Atrial flutter,radio,No,no,PIH:DIAGNOSIS,CIEL:148203|CIEL:148202,Arrythmia,PIH:Visit Diagnoses
Thromboembolic,Coded,Pulmonary embolism | Deep vein thrombosis,radio,No,no,PIH:DIAGNOSIS,CIEL:113504|CIEL:119624,Thromboembolic,PIH:Visit Diagnoses
Thromboembolic,Coded,Other,checkbox,No,no,PIH:14752,PIH:14756,,
Thromboembolic,Text,N/A,text,No,no,PIH:14756,,,
Congenital heart disease,Coded,Atrial septal defect | Ventricular septal defect | Patent ductus arteriosus | Coarctation of aorta | Tetralogy of Fallot | Unknown congenital heart disease | Other congenital heart disease,checkbox,No,no,PIH:DIAGNOSIS,CIEL:148196|CIEL:123240|CIEL:130715|CIEL:144674|CIEL:124944|PIH:20165|PIH:20164,Congenital heart disease,PIH:Visit Diagnoses
"if other congenital heart disease, specify:",Coded,N/A,radio,No,no,PIH:20164,,,
"Unknown suspected, specify:",Coded,N/A,radio,No,no,PIH:14742,,,
Clinical indicators,Coded,Dyspnea | Orthopnea | Paroxysmal nocturnal dyspnea,radio,No,no,,CIEL:122496|CIEL:131689|CIEL:130783,Clinical indicators,PIH:14733
Clinical indicators,Coded,Crackles | Pitting edema | Jugular venous distension,radio,No,no,,CIEL:127640|CIEL:130166|CIEL:136394,Clinical indicators,PIH:14733
Hf vol status,Coded,Euvolemic | Hypovolemia | Hypervolemic,radio,No,no,CIEL:159574,CIEL:159575|CIEL:117315|CIEL:138099,Clinical indicators,PIH:14724
Understands treatment,Coded,Yes | No | Unknown,radio,No,Yes → show #hf-fui-understand-details,CIEL:167914,PIH:YES|PIH:NO|PIH:UNKNOWN,,PIH:14724
Low salt adherence diet,Coded,Yes | No | Unknown,radio,No,Yes → show #hf-fui-salt-details,CIEL:168115,PIH:YES|PIH:NO|PIH:UNKNOWN,,PIH:14724
Overall treatment adherence,Coded,Yes | No | Unknown,radio,No,Yes → show #hf-fui-adher-details,CIEL:164075,PIH:YES|PIH:NO|PIH:UNKNOWN,,PIH:14724
Ability to titrate treatment,Coded,Yes | No | Unknown,radio,No,Yes → show #hf-fui-titrate-details,PIH:14741,PIH:YES|PIH:NO|PIH:UNKNOWN,,PIH:14724
