Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Vitamin A,Coded,Vitamin A,checkbox,No,no,PIH:SUPPLEMENT RECEIVED,PIH:VITAMIN A,,PIH:SUPPLEMENT HISTORY CONSTRUCT
Age supplement received,Coded,N/A,radio,No,no,PIH:AGE SUPPLEMENT RECEIVED,,,PIH:SUPPLEMENT HISTORY CONSTRUCT
Ferrous Sulfate,Coded,Ferrous sulfate,checkbox,No,no,PIH:SUPPLEMENT RECEIVED,PIH:FERROUS SULFATE,,PIH:SUPPLEMENT HISTORY CONSTRUCT
Age supplement received,Coded,N/A,radio,No,no,PIH:AGE SUPPLEMENT RECEIVED,,,PIH:SUPPLEMENT HISTORY CONSTRUCT
Iodine,Coded,Iodine,checkbox,No,no,PIH:SUPPLEMENT RECEIVED,PIH:IODINE,,PIH:SUPPLEMENT HISTORY CONSTRUCT
Age supplement received,Coded,N/A,radio,No,no,PIH:AGE SUPPLEMENT RECEIVED,,,PIH:SUPPLEMENT HISTORY CONSTRUCT
Deworming,Coded,Deworming,checkbox,No,no,PIH:SUPPLEMENT RECEIVED,PIH:DEWORMING,,PIH:SUPPLEMENT HISTORY CONSTRUCT
Age supplement received,Coded,N/A,radio,No,no,PIH:AGE SUPPLEMENT RECEIVED,,,PIH:SUPPLEMENT HISTORY CONSTRUCT
Zinc,Coded,Zinc,checkbox,No,no,PIH:SUPPLEMENT RECEIVED,PIH:ZINC,,PIH:SUPPLEMENT HISTORY CONSTRUCT
Age supplement received,Coded,N/A,radio,No,no,PIH:AGE SUPPLEMENT RECEIVED,,,PIH:SUPPLEMENT HISTORY CONSTRUCT
Zl breastfeed Exclusively,Coded,Breastfed exclusively,checkbox,No,no,PIH:FEEDING METHOD PRESENT,PIH:BREASTFED EXCLUSIVELY,,PIH:PEDIATRIC FEEDING HISTORY CONSTRUCT
Zl breastfeed Exclusively,Coded,Breastfed exclusively,checkbox,No,no,PIH:FEEDING METHOD ABSENT,PIH:BREASTFED EXCLUSIVELY,,PIH:PEDIATRIC FEEDING HISTORY CONSTRUCT
Zl breastfeed Exclusively,Coded,N/A,radio,No,no,PIH:FEEDING METHOD AGE,,,PIH:PEDIATRIC FEEDING HISTORY CONSTRUCT
Zl infant Formula,Coded,Infant formula,checkbox,No,no,PIH:FEEDING METHOD PRESENT,PIH:INFANT FORMULA,,PIH:PEDIATRIC FEEDING HISTORY CONSTRUCT
Zl infant Formula,Coded,Infant formula,checkbox,No,no,PIH:FEEDING METHOD ABSENT,PIH:INFANT FORMULA,,PIH:PEDIATRIC FEEDING HISTORY CONSTRUCT
Zl infant Formula,Coded,N/A,radio,No,no,PIH:FEEDING METHOD AGE,,,PIH:PEDIATRIC FEEDING HISTORY CONSTRUCT
Zl mixed Feeding,Coded,Mixed feeding,checkbox,No,no,PIH:FEEDING METHOD PRESENT,PIH:MIXED FEEDING,,PIH:PEDIATRIC FEEDING HISTORY CONSTRUCT
Zl mixed Feeding,Coded,Mixed feeding,checkbox,No,no,PIH:FEEDING METHOD ABSENT,PIH:MIXED FEEDING,,PIH:PEDIATRIC FEEDING HISTORY CONSTRUCT
Zl mixed Feeding,Coded,N/A,radio,No,no,PIH:FEEDING METHOD AGE,,,PIH:PEDIATRIC FEEDING HISTORY CONSTRUCT
Zl breastfeed Stopped,Coded,Weaned,checkbox,No,no,PIH:FEEDING METHOD PRESENT,PIH:WEANED,,PIH:PEDIATRIC FEEDING HISTORY CONSTRUCT
Zl breastfeed Stopped,Coded,Weaned,checkbox,No,no,PIH:FEEDING METHOD ABSENT,PIH:WEANED,,PIH:PEDIATRIC FEEDING HISTORY CONSTRUCT
Zl breastfeed Stopped,Coded,N/A,radio,No,no,PIH:FEEDING METHOD AGE,,,PIH:PEDIATRIC FEEDING HISTORY CONSTRUCT
Comment,Text,N/A,textarea,No,no,PIH:6906,,,
