Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Delivery Date Time,Coded,N/A,radio,No,no,PIH:5599,,,
Danger Signs,Coded,Oedema of hands or face | Chest pain | Abnormal vaginal bleeding | Fever | Severe headache | Seizure | Vision problem | Vomiting | Diarrhoea | Dysuria | Dyspnoea | Abdominal pain | Premature uterine contractions | Amniotic fluid leaking | Decreased foetal movements,checkbox,No,no,PIH:DIAGNOSIS,CIEL:165193|PIH:136|CIEL:150802|CIEL:140238|CIEL:139081|CIEL:113054|CIEL:118938|CIEL:122983|CIEL:142412|CIEL:118771|CIEL:122496|CIEL:151|CIEL:153316|CIEL:148968|CIEL:113377,Danger Signs,PIH:Visit Diagnoses
Risk Factors,Coded,History of spontaneous abortion | History of retained placenta | Eclampsia | Preeclampsia | Antepartum haemorrhage | Postpartum haemorrhage | Previous c-section | HIV | Heart disease | Diabetes | Hypertension | Multiple gestation | Placental abruption | Placenta praevia | Foetal death | Malpresentation of foetus | Victim of GBV | Syphilis,checkbox,No,no,CIEL:160079,CIEL:156650|CIEL:166426|PIH:Eclampsia|PIH:47|PIH:ANTEPARTUM HEMORRHAGE|CIEL:230|CIEL:163155|CIEL:138405|PIH:HEART DISEASE|PIH:DIABETES|PIH:HYPERTENSION|CIEL:115491|CIEL:130108|CIEL:114127|CIEL:140399|CIEL:115939|CIEL:165088|CIEL:112493,Risk Factors,
Risk Factors,Coded,Other,checkbox,No,no,CIEL:160079,PIH:OTHER,,
Subform: vital-signs-widget.xml,Other,Subform — configuration/pih/subforms/vital-signs-widget.xml,subform,No,no,,,,
Malaria RDT,Coded,Positive | Negative | Not tested,radio,No,no,CIEL:1643,CIEL:703|CIEL:664|CIEL:1138,,
Subform: rapid-tests-widget.xml,Other,Subform — configuration/pih/subforms/rapid-tests-widget.xml,subform,No,no,,,,
Sickling exam,Coded,Positive | Negative | Not tested,radio,No,no,CIEL:160225,CIEL:703|CIEL:664|CIEL:1138,,
Urine glucose,Coded,3+ | 2+ | 1+ | Trace | Negative,radio,No,no,CIEL:159734,CIEL:1365|CIEL:1364|CIEL:1363|CIEL:1362|CIEL:664,,
Urine protein,Coded,3+ | 2+ | 1+ | Trace | Trace (alt) | Negative,radio,No,no,CIEL:1875,CIEL:1365|CIEL:1364|CIEL:1363|CIEL:1362|CIEL:159416|CIEL:664,,
Urine hCG,Coded,Positive | Negative | Not tested,radio,No,no,CIEL:45,CIEL:703|CIEL:664|CIEL:1138,,
Radiology,Coded,Ultrasound,checkbox,No,no,PIH:9350,PIH:Ultrasound,,
FeFol (Ferrous sulfate + Folic acid),Coded,Yes | No,radio,No,no,CIEL:164166,CIEL:1065|CIEL:1066,,
IPTp-SP (for malaria),Coded,Yes | No,radio,No,no,CIEL:1591,CIEL:1065|CIEL:1066,,
Nutrition counselling,Coded,Yes | No,radio,No,no,CIEL:1380,CIEL:1065|CIEL:1066,,
Other complaints,Text,N/A,textarea,No,no,PIH:6760,,,
Diagnoses (encounterDiagnosesByObs),Other,Pick diagnoses,diagnoses widget,No,no,,,,
Free Text Comments,Text,N/A,textarea,No,no,PIH:CLINICAL IMPRESSION COMMENTS,,,
Subform: drug-order-widget.xml,Other,Subform — configuration/pih/subforms/drug-order-widget.xml,subform,No,no,,,,
Received LLIN (Long-lasting insecticide net),Coded,Yes | No,radio,No,no,CIEL:159855,CIEL:1065|CIEL:1066,,
Albendazole (deworming),Coded,Yes | No,radio,No,no,CIEL:159922,CIEL:1065|CIEL:1066,,
Family planning counselling,Coded,Yes | No,radio,No,no,CIEL:1382,CIEL:1065|CIEL:1066,,
Accepts and receives family planning,Coded,Yes | No,radio,No,Yes → show #family-method,CIEL:166421,CIEL:1065|CIEL:1066,,
Fp Method,Coded,Combined oral contraceptive pills | Norethindrone | Natural family planning | Condoms | Medroxyprogesterone acetate (Depo-provera) | Sayana press | Intra uterine device (IUD) | Jadelle (implantable contraceptive) | Tubal ligation | Lactational amenorrhea,checkbox,No,no,CIEL:374,CIEL:159783|CIEL:80784|CIEL:5277|CIEL:190|CIEL:907|PIH:21450|CIEL:5275|CIEL:1873|CIEL:1472|CIEL:136163,Fp Method,PIH:Family planning construct
Date Implant,Coded,N/A,radio,No,no,PIH:3203,,,
Counselled for HIV testing,Coded,Yes | No | Unknown,radio,No,no,PIH:11381,CIEL:1065|CIEL:1066|CIEL:1067,,
Counselled for danger signs,Coded,Yes | No,radio,No,no,CIEL:161050,CIEL:1065|CIEL:1066,,
Disposition,Other,Disposition widget,disposition widget,Yes,no,,,,
Return Visit Date,Date,N/A,date,No,no,PIH:RETURN VISIT DATE,,,
