Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Subform: encounter-provider-location-date.xml,Other,Subform — configuration/pih/subforms/encounter-provider-location-date.xml,subform,No,no,,,,
Vitals complaint title,Coded,N/A,radio,No,no,CIEL:160531,,,
Vitals height title,Coded,N/A,radio,No,no,PIH:HEIGHT (CM),,,
Vitals weight title,Coded,N/A,radio,No,no,PIH:WEIGHT (KG),,,
Vitals Level Of Consciousness title,Coded,Awake | Confusion | Responds to voice | Responds to pain | Unresponsive,radio,No,no,PIH:10674,CIEL:160282|CIEL:120345|CIEL:162645|CIEL:162644|PIH:6784,,
Vitals temperature title,Coded,N/A,radio,No,no,PIH:TEMPERATURE (C),,,
Vitals heart Rate title,Coded,N/A,radio,No,no,PIH:PULSE,,,
Vitals blood Pressure title,Coded,N/A,radio,No,no,PIH:SYSTOLIC BLOOD PRESSURE,,,
Vitals blood Pressure title,Coded,N/A,radio,No,no,PIH:DIASTOLIC BLOOD PRESSURE,,,
Vitals blood Pressure title,Coded,N/A,radio,No,no,PIH:20067,,,
Vitals blood Pressure title,Coded,N/A,radio,No,no,PIH:20066,,,
Vitals respiratory Rate title,Coded,N/A,radio,No,no,PIH:RESPIRATORY RATE,,,
Vitals o2sat title,Coded,N/A,radio,No,no,PIH:BLOOD OXYGEN SATURATION,,,
Vitals or,Coded,N/A,radio,No,no,PIH:MIDDLE UPPER ARM CIRCUMFERENCE (MM),,,
Vitals zscore title,Coded,N/A,radio,No,no,CIEL:162584,,,
Vitals head title,Coded,N/A,radio,No,no,PIH:HEAD CIRCUMFERENCE,,,
Glucose fingerstick,Coded,FBG | RBG,radio,No,no,PIH:6689,CIEL:1065|CIEL:1066,,
Fasting blood glucose (FBG),Coded,N/A,radio,No,no,CIEL:169672,,,
Random blood glucose (RBG),Coded,N/A,radio,No,no,CIEL:1458,,,
Random blood glucose (RBG),Coded,High | Low,radio,No,no,PIH:21458,CIEL:1408|CIEL:1407,,
